index,name,team,minutes
Erling Haaland2024-11-02T15:00:00Z,Erling Haaland,Man City,1
Julián Álvarez2024-11-02T15:00:00Z,Julián Álvarez,Man City,0
Romelu Lukaku Bolingoli2024-11-03T16:30:00Z,Romelu Lukaku Bolingoli,Chelsea,0
David Datro Fofana2024-11-03T16:30:00Z,David Datro Fofana,Chelsea,0
Nicolas Jackson2024-11-03T16:30:00Z,Nicolas Jackson,Chelsea,1
Deivid Washington de Souza Eugênio2024-11-03T16:30:00Z,Deivid Washington de Souza Eugênio,Chelsea,0
Marc Guiu Paz2024-11-03T16:30:00Z,Marc Guiu Paz,Chelsea,0
Dane Scarlett2024-11-03T14:00:00Z,Dane Scarlett,Spurs,0
Alejo Véliz2024-11-03T14:00:00Z,Alejo Véliz,Spurs,0
Will Lankshear2024-11-03T14:00:00Z,Will Lankshear,Spurs,0
Igor Thiago Nascimento Rodrigues2024-11-04T20:00:00Z,Igor Thiago Nascimento Rodrigues,Brentford,0
Dominic Solanke-Mitchell2024-11-03T14:00:00Z,Dominic Solanke-Mitchell,Spurs,1
Ivan Toney2024-11-04T20:00:00Z,Ivan Toney,Brentford,0
Yoane Wissa2024-11-04T20:00:00Z,Yoane Wissa,Brentford,1
Richarlison de Andrade2024-11-03T14:00:00Z,Richarlison de Andrade,Spurs,1
Gabriel Fernando de Jesus2024-11-02T12:30:00Z,Gabriel Fernando de Jesus,Arsenal,1
Kai Havertz2024-11-02T12:30:00Z,Kai Havertz,Arsenal,1
Darwin Núñez Ribeiro2024-11-02T15:00:00Z,Darwin Núñez Ribeiro,Liverpool,1
Cody Gakpo2024-11-02T15:00:00Z,Cody Gakpo,Liverpool,1
Jhon Durán2024-11-03T14:00:00Z,Jhon Durán,Aston Villa,1
João Pedro Junqueira de Jesus2024-11-02T15:00:00Z,João Pedro Junqueira de Jesus,Brighton,0
Deniz Undav2024-11-02T15:00:00Z,Deniz Undav,Brighton,0
Danny Welbeck2024-11-02T15:00:00Z,Danny Welbeck,Brighton,1
Ollie Watkins2024-11-03T14:00:00Z,Ollie Watkins,Aston Villa,1
Armando Broja2024-11-02T15:00:00Z,Armando Broja,Everton,0
Evan Ferguson2024-11-02T15:00:00Z,Evan Ferguson,Brighton,1
Mark O’Mahony2024-11-02T15:00:00Z,Mark O’Mahony,Brighton,0
Nathan Butler-Oyedeji2024-11-02T12:30:00Z,Nathan Butler-Oyedeji,Arsenal,0
Tom Cannon2024-11-02T15:00:00Z,Tom Cannon,Leicester,0
Michail Antonio2024-11-02T15:00:00Z,Michail Antonio,West Ham,1
Niclas Füllkrug2024-11-02T15:00:00Z,Niclas Füllkrug,West Ham,0
Patson Daka2024-11-02T15:00:00Z,Patson Daka,Leicester,0
Danny Ings2024-11-02T15:00:00Z,Danny Ings,West Ham,1
Jamie Vardy2024-11-02T15:00:00Z,Jamie Vardy,Leicester,1
Saša Kalajdžić2024-11-02T17:30:00Z,Saša Kalajdžić,Wolves,0
Rodrigo Muniz Carvalho2024-11-04T20:00:00Z,Rodrigo Muniz Carvalho,Fulham,1
Carlos Vinícius Alves Morais2024-11-04T20:00:00Z,Carlos Vinícius Alves Morais,Fulham,0
Nathan Fraser2024-11-02T17:30:00Z,Nathan Fraser,Wolves,0
Odsonne Edouard2024-11-02T15:00:00Z,Odsonne Edouard,Leicester,1
Fábio Silva2024-11-02T17:30:00Z,Fábio Silva,Wolves,0
Matheus Santos Carneiro Da Cunha2024-11-02T17:30:00Z,Matheus Santos Carneiro Da Cunha,Wolves,1
Raúl Jiménez2024-11-04T20:00:00Z,Raúl Jiménez,Fulham,1
Leon Chiwome2024-11-02T17:30:00Z,Leon Chiwome,Wolves,0
Jay Stansfield2024-11-04T20:00:00Z,Jay Stansfield,Fulham,0
Jørgen Strand Larsen2024-11-02T17:30:00Z,Jørgen Strand Larsen,Wolves,1
Francisco Evanilson de Lima Barbosa2024-11-02T15:00:00Z,Francisco Evanilson de Lima Barbosa,Bournemouth,1
Enes Ünal2024-11-02T15:00:00Z,Enes Ünal,Bournemouth,1
Daniel Jebbison2024-11-02T15:00:00Z,Daniel Jebbison,Bournemouth,0
Emmanuel Dennis2024-11-02T15:00:00Z,Emmanuel Dennis,Nott'm Forest,0
Hwang Ui-jo2024-11-02T15:00:00Z,Hwang Ui-jo,Nott'm Forest,0
Taiwo Awoniyi2024-11-02T15:00:00Z,Taiwo Awoniyi,Nott'm Forest,1
Chris Wood2024-11-02T15:00:00Z,Chris Wood,Nott'm Forest,1
Norberto Bercique Gomes Betuncal2024-11-02T15:00:00Z,Norberto Bercique Gomes Betuncal,Everton,0
Youssef Ramalho Chermiti2024-11-02T15:00:00Z,Youssef Ramalho Chermiti,Everton,0
Dominic Calvert-Lewin2024-11-02T15:00:00Z,Dominic Calvert-Lewin,Everton,1
Neal Maupay2024-11-02T15:00:00Z,Neal Maupay,Everton,0
Iliman Ndiaye2024-11-02T15:00:00Z,Iliman Ndiaye,Everton,1
Liam Delap2024-11-02T15:00:00Z,Liam Delap,Ipswich,1
Callum Wilson2024-11-02T12:30:00Z,Callum Wilson,Newcastle,0
William Osula2024-11-02T12:30:00Z,William Osula,Newcastle,0
Alexander Isak2024-11-02T12:30:00Z,Alexander Isak,Newcastle,1
Ali Al-Hamadi2024-11-02T15:00:00Z,Ali Al-Hamadi,Ipswich,0
Eddie Nketiah2024-11-02T17:30:00Z,Eddie Nketiah,Crystal Palace,1
George Hirst2024-11-02T15:00:00Z,George Hirst,Ipswich,1
Freddie Ladapo2024-11-02T15:00:00Z,Freddie Ladapo,Ipswich,0
