index,name,team,points,value
Mohamed Salah2024-11-02T15:00:00Z,Mohamed Salah,Liverpool,7.046866166,126
Bukayo Saka2024-11-02T12:30:00Z,Bukayo Saka,Arsenal,5.566477014,100
Bryan Mbeumo2024-11-04T20:00:00Z,Bryan Mbeumo,Brentford,4.812528616,77
Cole Palmer2024-11-03T16:30:00Z,Cole Palmer,Chelsea,4.477834631,109
Declan Rice2024-11-02T12:30:00Z,Declan Rice,Arsenal,4.45901899,63
Brennan Johnson2024-11-03T14:00:00Z,Brennan Johnson,Spurs,4.187137626,67
Eberechi Eze2024-11-02T17:30:00Z,Eberechi Eze,Crystal Palace,4.18250968,67
Jarrod Bowen2024-11-02T15:00:00Z,Jarrod Bowen,West Ham,4.02172009,74
Mikkel Damsgaard2024-11-04T20:00:00Z,Mikkel Damsgaard,Brentford,3.893360153,50
Dwight McNeil2024-11-02T15:00:00Z,Dwight McNeil,Everton,3.871606661,58
Bruno Borges Fernandes2024-11-03T16:30:00Z,Bruno Borges Fernandes,Man Utd,3.68661796,82
Anthony Gordon2024-11-02T12:30:00Z,Anthony Gordon,Newcastle,3.679646534,72
Bernardo Veiga de Carvalho e Silva2024-11-02T15:00:00Z,Bernardo Veiga de Carvalho e Silva,Man City,3.669663345,65
Phil Foden2024-11-02T15:00:00Z,Phil Foden,Man City,3.583456813,93
Dejan Kulusevski2024-11-03T14:00:00Z,Dejan Kulusevski,Spurs,3.4649105,63
Luis Díaz2024-11-02T15:00:00Z,Luis Díaz,Liverpool,3.422930254,79
Callum Hudson-Odoi2024-11-02T15:00:00Z,Callum Hudson-Odoi,Nott'm Forest,3.402003932,54
Alex Iwobi2024-11-04T20:00:00Z,Alex Iwobi,Fulham,3.331517599,55
Ryan Yates2024-11-02T15:00:00Z,Ryan Yates,Nott'm Forest,3.295627563,49
Diogo Teixeira da Silva2024-11-02T15:00:00Z,Diogo Teixeira da Silva,Liverpool,3.270006085,73
Adama Traoré2024-11-04T20:00:00Z,Adama Traoré,Fulham,3.267979053,51
James Maddison2024-11-03T14:00:00Z,James Maddison,Spurs,3.223372742,76
Moisés Caicedo Corozo2024-11-03T16:30:00Z,Moisés Caicedo Corozo,Chelsea,3.208612801,49
Gabriel Martinelli Silva2024-11-02T12:30:00Z,Gabriel Martinelli Silva,Arsenal,3.207810549,70
Antoine Semenyo2024-11-02T15:00:00Z,Antoine Semenyo,Bournemouth,3.188538843,56
Vitaly Janelt2024-11-04T20:00:00Z,Vitaly Janelt,Brentford,3.181616876,49
Andreas Hoelgebaum Pereira2024-11-04T20:00:00Z,Andreas Hoelgebaum Pereira,Fulham,3.102737796,53
Facundo Buonanotte2024-11-02T15:00:00Z,Facundo Buonanotte,Leicester,3.078370351,51
Elliot Anderson2024-11-02T15:00:00Z,Elliot Anderson,Nott'm Forest,3.077556265,50
Stephy Mavididi2024-11-02T15:00:00Z,Stephy Mavididi,Leicester,3.072714369,53
Dominik Szoboszlai2024-11-02T15:00:00Z,Dominik Szoboszlai,Liverpool,3.020067559,64
Marcus Tavernier2024-11-02T15:00:00Z,Marcus Tavernier,Bournemouth,2.973371822,55
Youri Tielemans2024-11-03T14:00:00Z,Youri Tielemans,Aston Villa,2.965508891,55
Lewis Cook2024-11-02T15:00:00Z,Lewis Cook,Bournemouth,2.947391641,50
Curtis Jones2024-11-02T15:00:00Z,Curtis Jones,Liverpool,2.920550494,53
Leandro Trossard2024-11-02T12:30:00Z,Leandro Trossard,Arsenal,2.839997123,69
Mitoma Kaoru2024-11-02T15:00:00Z,Mitoma Kaoru,Brighton,2.811729999,65
Joelinton Cássio Apolinário de Lira2024-11-02T12:30:00Z,Joelinton Cássio Apolinário de Lira,Newcastle,2.766896898,60
Mateo Kovačić2024-11-02T15:00:00Z,Mateo Kovačić,Man City,2.766107478,56
Emile Smith Rowe2024-11-04T20:00:00Z,Emile Smith Rowe,Fulham,2.762786028,57
Alejandro Garnacho2024-11-03T16:30:00Z,Alejandro Garnacho,Man Utd,2.752149362,62
