index,name,team,points,value
Josh Nichols2024-11-23T15:00:00Z,Josh Nichols,Arsenal,0.04318211928049626,40
Issa Kaboré2024-11-23T17:30:00Z,Issa Kaboré,Man City,0.06310941437698336,45
Jayden Meghoma2024-11-23T15:00:00Z,Jayden Meghoma,Brentford,0.021467588495715513,40
Cristian Romero2024-11-23T17:30:00Z,Cristian Romero,Spurs,1.8005934588758912,50
Djed Spence2024-11-23T17:30:00Z,Djed Spence,Spurs,0.10421964519736034,44
Ben Davies2024-11-23T17:30:00Z,Ben Davies,Spurs,0.6394952544920379,43
Ashley Phillips2024-11-23T17:30:00Z,Ashley Phillips,Spurs,0.00687102498622846,40
Destiny Udogie2024-11-23T17:30:00Z,Destiny Udogie,Spurs,2.1682551083957446,49
Emerson Leite de Souza Junior2024-11-23T17:30:00Z,Emerson Leite de Souza Junior,Spurs,0.04464520013530002,45
Sergio Reguilón2024-11-23T17:30:00Z,Sergio Reguilón,Spurs,0.07437441866346067,42
Pedro Porro2024-11-23T17:30:00Z,Pedro Porro,Spurs,2.338847710799942,55
Radu Drăgușin2024-11-23T17:30:00Z,Radu Drăgușin,Spurs,1.0639338435639984,43
Micky van de Ven2024-11-23T17:30:00Z,Micky van de Ven,Spurs,1.195961697577864,46
Rúben Gato Alves Dias2024-11-23T17:30:00Z,Rúben Gato Alves Dias,Man City,1.1943591958611328,54
Maldini Kacurri2024-11-23T15:00:00Z,Maldini Kacurri,Arsenal,0.04090052321136617,40
Joško Gvardiol2024-11-23T17:30:00Z,Joško Gvardiol,Man City,2.9366890497689515,63
Mathias Jorgensen2024-11-23T15:00:00Z,Mathias Jorgensen,Brentford,0.09715470484557533,45
Kyle Walker2024-11-23T17:30:00Z,Kyle Walker,Man City,1.680265025959441,52
Manuel Akanji2024-11-23T17:30:00Z,Manuel Akanji,Man City,2.100328149885325,55
Ethan Pinnock2024-11-23T15:00:00Z,Ethan Pinnock,Brentford,2.7736305835424346,45
Sil Swinkels2024-11-23T15:00:00Z,Sil Swinkels,Aston Villa,0.0601174555373543,40
Sepp van den Berg2024-11-23T15:00:00Z,Sepp van den Berg,Brentford,2.2220663940271805,41
Mads Roerslev Rasmussen2024-11-23T15:00:00Z,Mads Roerslev Rasmussen,Brentford,1.3997482143439657,44
João Cavaco Cancelo2024-11-23T17:30:00Z,João Cavaco Cancelo,Man City,0.13897814253076862,53
Rico Henry2024-11-23T15:00:00Z,Rico Henry,Brentford,0.06286020315270201,43
Nathan Aké2024-11-23T17:30:00Z,Nathan Aké,Man City,1.1137252154937927,53
Ayden Heaven2024-11-23T15:00:00Z,Ayden Heaven,Arsenal,0.04090052321136617,40
Aaron Hickey2024-11-23T15:00:00Z,Aaron Hickey,Brentford,0.07418793550765947,43
Rico Lewis2024-11-23T17:30:00Z,Rico Lewis,Man City,2.0285438800606834,49
Kim Ji-soo2024-11-23T15:00:00Z,Kim Ji-soo,Brentford,0.02087223867270737,39
John Stones2024-11-23T17:30:00Z,John Stones,Man City,0.7240456709660498,53
Nathan Collins2024-11-23T15:00:00Z,Nathan Collins,Brentford,2.508734081836856,45
Ben Mee2024-11-23T15:00:00Z,Ben Mee,Brentford,0.4574468223377652,42
Kristoffer Ajer2024-11-23T15:00:00Z,Kristoffer Ajer,Brentford,0.3420377237824753,44
Imari Samuels2024-11-23T15:00:00Z,Imari Samuels,Brighton,0.019857815812090163,40
Konstantinos Tsimikas2024-11-24T14:00:00Z,Konstantinos Tsimikas,Liverpool,1.8284383171453682,46
Andrew Robertson2024-11-24T14:00:00Z,Andrew Robertson,Liverpool,2.8520770369323785,59
Joe Gomez2024-11-24T14:00:00Z,Joe Gomez,Liverpool,1.34996546215053,48
Reece James2024-11-23T12:30:00Z,Reece James,Chelsea,1.6958657845809924,49
Rhys Williams2024-11-24T14:00:00Z,Rhys Williams,Liverpool,0.06331272826109606,40
Jarell Quansah2024-11-24T14:00:00Z,Jarell Quansah,Liverpool,0.17306144646311236,39
Ibrahima Konaté2024-11-24T14:00:00Z,Ibrahima Konaté,Liverpool,3.3210170376937462,54
Alfie Gilchrist2024-11-23T12:30:00Z,Alfie Gilchrist,Chelsea,0.02776944348660131,40
Wesley Fofana2024-11-23T12:30:00Z,Wesley Fofana,Chelsea,2.767541791218321,45
Virgil van Dijk2024-11-24T14:00:00Z,Virgil van Dijk,Liverpool,3.660927743974989,63
Ben Chilwell2024-11-23T12:30:00Z,Ben Chilwell,Chelsea,0.08406361117036196,47
Marc Cucurella Saseta2024-11-23T12:30:00Z,Marc Cucurella Saseta,Chelsea,1.6315107859874134,50
Axel Disasi2024-11-23T12:30:00Z,Axel Disasi,Chelsea,0.3413758659606763,43
Conor Bradley2024-11-24T14:00:00Z,Conor Bradley,Liverpool,1.4638224418881707,47
Nathaniel Phillips2024-11-24T14:00:00Z,Nathaniel Phillips,Liverpool,0.05477233409084872,40
Malo Gusto2024-11-23T12:30:00Z,Malo Gusto,Chelsea,2.1835828053032094,49
Tosin Adarabioyo2024-11-23T12:30:00Z,Tosin Adarabioyo,Chelsea,0.26568642748313503,43
Trent Alexander-Arnold2024-11-24T14:00:00Z,Trent Alexander-Arnold,Liverpool,3.2447327840741202,70
Benoît Badiashile2024-11-23T12:30:00Z,Benoît Badiashile,Chelsea,0.1366855148113286,43
Caleb Wiley2024-11-23T12:30:00Z,Caleb Wiley,Chelsea,0.022494925858775914,40
Malang Sarr2024-11-23T12:30:00Z,Malang Sarr,Chelsea,0.04760043878401528,45
Levi Colwill2024-11-23T12:30:00Z,Levi Colwill,Chelsea,2.771672028047345,45
Alfie Pond2024-11-23T15:00:00Z,Alfie Pond,Wolves,0.028345553178613533,39
Joël Veltman2024-11-23T15:00:00Z,Joël Veltman,Brighton,1.9387854807066778,45
Adam Webster2024-11-23T15:00:00Z,Adam Webster,Brighton,0.1306437089170802,43
Igor Julio dos Santos de Paulo2024-11-23T15:00:00Z,Igor Julio dos Santos de Paulo,Brighton,1.753228054233109,44
Odeluga Offiah2024-11-23T15:00:00Z,Odeluga Offiah,Brighton,0.021401670354197305,40
Tariq Lamptey2024-11-23T15:00:00Z,Tariq Lamptey,Brighton,0.8124576044712208,44
Pervis Estupiñán2024-11-23T15:00:00Z,Pervis Estupiñán,Brighton,2.1081525101071215,50
Jan Paul van Hecke2024-11-23T15:00:00Z,Jan Paul van Hecke,Brighton,2.351775993978414,45
Lewis Dunk2024-11-23T15:00:00Z,Lewis Dunk,Brighton,0.4573747688942646,44
Valentín Barco2024-11-23T15:00:00Z,Valentín Barco,Brighton,0.026951915715648367,40
Riccardo Calafiori2024-11-23T15:00:00Z,Riccardo Calafiori,Arsenal,0.5082848070727284,58
Jakub Kiwior2024-11-23T15:00:00Z,Jakub Kiwior,Arsenal,0.9369823000397943,48
William Saliba2024-11-23T15:00:00Z,William Saliba,Arsenal,2.481618098784367,60
Benjamin White2024-11-23T15:00:00Z,Benjamin White,Arsenal,2.3861720011514786,62
Oleksandr Zinchenko2024-11-23T15:00:00Z,Oleksandr Zinchenko,Arsenal,1.0648938760644757,48
Jurriën Timber2024-11-23T15:00:00Z,Jurriën Timber,Arsenal,2.359916630353217,55
Gabriel dos Santos Magalhães2024-11-23T15:00:00Z,Gabriel dos Santos Magalhães,Arsenal,2.58069902837938,61
Tomiyasu Takehiro2024-11-23T15:00:00Z,Tomiyasu Takehiro,Arsenal,0.1183612829839988,48
Kieran Tierney2024-11-23T15:00:00Z,Kieran Tierney,Arsenal,0.06486848675173428,43
Ferdi Kadioglu2024-11-23T15:00:00Z,Ferdi Kadioglu,Brighton,2.0794434190193853,45
Lucas Digne2024-11-23T15:00:00Z,Lucas Digne,Aston Villa,4.14338588024174,47
Pau Torres2024-11-23T15:00:00Z,Pau Torres,Aston Villa,3.3837181023158758,45
Tyrone Mings2024-11-23T15:00:00Z,Tyrone Mings,Aston Villa,0.11135110825477292,44
Lino da Cruz Sousa2024-11-23T15:00:00Z,Lino da Cruz Sousa,Aston Villa,0.06069660645820471,40
Kortney Hause2024-11-23T15:00:00Z,Kortney Hause,Aston Villa,0.05282791249476517,40
Kosta Nedeljković2024-11-23T15:00:00Z,Kosta Nedeljković,Aston Villa,0.20594886475634902,40
Joachim Andersen2024-11-23T15:00:00Z,Joachim Andersen,Fulham,2.7247343232060923,43
Lamare Bogarde2024-11-23T15:00:00Z,Lamare Bogarde,Aston Villa,0.25818562531277417,40
Diego Carlos Santos Silva2024-11-23T15:00:00Z,Diego Carlos Santos Silva,Aston Villa,1.4918320746097131,45
Kaine Kesler-Hayden2024-11-23T15:00:00Z,Kaine Kesler-Hayden,Aston Villa,0.05285658944141852,40
Ian Maatsen2024-11-23T15:00:00Z,Ian Maatsen,Aston Villa,1.389593339122768,47
Matty Cash2024-11-23T15:00:00Z,Matty Cash,Aston Villa,1.7536036267525883,44
Ezri Konsa Ngoyo2024-11-23T15:00:00Z,Ezri Konsa Ngoyo,Aston Villa,3.483229657707116,44
Nélson Cabral Semedo2024-11-23T15:00:00Z,Nélson Cabral Semedo,Wolves,2.4267329175173646,45
Jorge Cuenca Barreno2024-11-23T15:00:00Z,Jorge Cuenca Barreno,Fulham,0.39531848520418267,44
Pedro Cardoso de Lima2024-11-23T15:00:00Z,Pedro Cardoso de Lima,Wolves,0.017498051530132636,40
Matt Doherty2024-11-23T15:00:00Z,Matt Doherty,Wolves,0.37491459776725927,43
Kenny Tete2024-11-23T15:00:00Z,Kenny Tete,Fulham,2.848002454312386,45
Ki-Jana Hoever2024-11-23T15:00:00Z,Ki-Jana Hoever,Wolves,0.011599168315323368,40
Kevin Mbabu2024-11-23T15:00:00Z,Kevin Mbabu,Fulham,0.029924643497634677,40
Santiago Bueno2024-11-23T15:00:00Z,Santiago Bueno,Wolves,2.0905414812170764,43
Hugo Bueno López2024-11-23T15:00:00Z,Hugo Bueno López,Wolves,0.07698335305353327,45
Yerson Mosquera2024-11-23T15:00:00Z,Yerson Mosquera,Wolves,0.17785460347826892,39
Craig Dawson2024-11-23T15:00:00Z,Craig Dawson,Wolves,2.2216560608812066,44
Antonee Robinson2024-11-23T15:00:00Z,Antonee Robinson,Fulham,3.4832980632120925,47
Timothy Castagne2024-11-23T15:00:00Z,Timothy Castagne,Fulham,1.1131985898224628,42
Tim Ream2024-11-23T15:00:00Z,Tim Ream,Fulham,0.10618804456822813,45
Ryan Sessegnon2024-11-23T15:00:00Z,Ryan Sessegnon,Fulham,0.07438535437711631,42
