index,name,team,points,value
Brandon Austin2024-11-23T17:30:00Z,Brandon Austin,Spurs,0.004717459754866344,40
Fraser Forster2024-11-23T17:30:00Z,Fraser Forster,Spurs,0.02352914671506425,44
Guglielmo Vicario2024-11-23T17:30:00Z,Guglielmo Vicario,Spurs,2.8361419667857577,50
Alfie Whiteman2024-11-23T17:30:00Z,Alfie Whiteman,Spurs,0.004717459754866344,40
Killian Cahill2024-11-23T15:00:00Z,Killian Cahill,Brighton,0.024412206467275856,39
Hákon Valdimarsson2024-11-23T15:00:00Z,Hákon Valdimarsson,Brentford,0.013898685351486221,40
Harvey Davies2024-11-24T14:00:00Z,Harvey Davies,Liverpool,0.04644873197462097,40
Scott Carson2024-11-23T17:30:00Z,Scott Carson,Man City,0.023857554369142785,40
Oliwier Zych2024-11-23T15:00:00Z,Oliwier Zych,Aston Villa,0.035445991056785045,40
Mark Flekken2024-11-23T15:00:00Z,Mark Flekken,Brentford,2.8563021240995288,45
Vítezslav Jaros2024-11-24T14:00:00Z,Vítezslav Jaros,Liverpool,0.5591086664004243,40
Stefan Ortega Moreno2024-11-23T17:30:00Z,Stefan Ortega Moreno,Man City,0.11147027589069253,53
Ederson Santana de Moraes2024-11-23T17:30:00Z,Ederson Santana de Moraes,Man City,3.0145655803542515,55
Filip Jørgensen2024-11-23T12:30:00Z,Filip Jørgensen,Chelsea,0.04078727352702897,42
Đorđe Petrović2024-11-23T12:30:00Z,Đorđe Petrović,Chelsea,0.08553067741011532,44
Robert Sánchez2024-11-23T12:30:00Z,Robert Sánchez,Chelsea,3.404234862445046,47
Lucas Bergström2024-11-23T12:30:00Z,Lucas Bergström,Chelsea,0.010572231866076368,40
Caoimhin Kelleher2024-11-24T14:00:00Z,Caoimhin Kelleher,Liverpool,3.0016890086284254,45
Marcus Bettinelli2024-11-23T12:30:00Z,Marcus Bettinelli,Chelsea,0.010562887929760624,40
Alisson Ramses Becker2024-11-24T14:00:00Z,Alisson Ramses Becker,Liverpool,0.7355711459908183,54
Tommy Setford2024-11-23T15:00:00Z,Tommy Setford,Arsenal,0.06094253184346802,45
Kepa Arrizabalaga2024-11-23T15:00:00Z,Kepa Arrizabalaga,Bournemouth,1.1056048001085923,45
Carl Rushworth2024-11-23T15:00:00Z,Carl Rushworth,Brighton,0.020089544079246565,40
Jason Steele2024-11-23T15:00:00Z,Jason Steele,Brighton,0.30600920938933523,43
Bart Verbruggen2024-11-23T15:00:00Z,Bart Verbruggen,Brighton,2.4735281627064447,45
David Raya Martin2024-11-23T15:00:00Z,David Raya Martin,Arsenal,2.9698504392114526,56
Karl Hein2024-11-23T15:00:00Z,Karl Hein,Arsenal,0.02054299526869939,40
Emiliano Martínez Romero2024-11-23T15:00:00Z,Emiliano Martínez Romero,Aston Villa,3.8568374206145446,50
Robin Olsen2024-11-23T15:00:00Z,Robin Olsen,Aston Villa,0.08520391509259533,45
