index,name,team,minutes
Josh Nichols2024-11-23T15:00:00Z,Josh Nichols,Arsenal,0
Issa Kaboré2024-11-23T17:30:00Z,Issa Kaboré,Man City,0
Jayden Meghoma2024-11-23T15:00:00Z,Jayden Meghoma,Brentford,0
Cristian Romero2024-11-23T17:30:00Z,Cristian Romero,Spurs,1
Djed Spence2024-11-23T17:30:00Z,Djed Spence,Spurs,0
Ben Davies2024-11-23T17:30:00Z,Ben Davies,Spurs,0
Ashley Phillips2024-11-23T17:30:00Z,Ashley Phillips,Spurs,0
Destiny Udogie2024-11-23T17:30:00Z,Destiny Udogie,Spurs,1
Emerson Leite de Souza Junior2024-11-23T17:30:00Z,Emerson Leite de Souza Junior,Spurs,0
Sergio Reguilón2024-11-23T17:30:00Z,Sergio Reguilón,Spurs,0
Pedro Porro2024-11-23T17:30:00Z,Pedro Porro,Spurs,1
Radu Drăgușin2024-11-23T17:30:00Z,Radu Drăgușin,Spurs,1
Micky van de Ven2024-11-23T17:30:00Z,Micky van de Ven,Spurs,1
Rúben Gato Alves Dias2024-11-23T17:30:00Z,Rúben Gato Alves Dias,Man City,1
Maldini Kacurri2024-11-23T15:00:00Z,Maldini Kacurri,Arsenal,0
Joško Gvardiol2024-11-23T17:30:00Z,Joško Gvardiol,Man City,1
Mathias Jorgensen2024-11-23T15:00:00Z,Mathias Jorgensen,Brentford,0
Kyle Walker2024-11-23T17:30:00Z,Kyle Walker,Man City,1
Manuel Akanji2024-11-23T17:30:00Z,Manuel Akanji,Man City,1
Ethan Pinnock2024-11-23T15:00:00Z,Ethan Pinnock,Brentford,1
Sil Swinkels2024-11-23T15:00:00Z,Sil Swinkels,Aston Villa,0
Sepp van den Berg2024-11-23T15:00:00Z,Sepp van den Berg,Brentford,1
Mads Roerslev Rasmussen2024-11-23T15:00:00Z,Mads Roerslev Rasmussen,Brentford,1
João Cavaco Cancelo2024-11-23T17:30:00Z,João Cavaco Cancelo,Man City,0
Rico Henry2024-11-23T15:00:00Z,Rico Henry,Brentford,0
Nathan Aké2024-11-23T17:30:00Z,Nathan Aké,Man City,1
Ayden Heaven2024-11-23T15:00:00Z,Ayden Heaven,Arsenal,0
Aaron Hickey2024-11-23T15:00:00Z,Aaron Hickey,Brentford,0
Rico Lewis2024-11-23T17:30:00Z,Rico Lewis,Man City,1
Kim Ji-soo2024-11-23T15:00:00Z,Kim Ji-soo,Brentford,0
John Stones2024-11-23T17:30:00Z,John Stones,Man City,0
Nathan Collins2024-11-23T15:00:00Z,Nathan Collins,Brentford,1
Ben Mee2024-11-23T15:00:00Z,Ben Mee,Brentford,0
Kristoffer Ajer2024-11-23T15:00:00Z,Kristoffer Ajer,Brentford,0
Imari Samuels2024-11-23T15:00:00Z,Imari Samuels,Brighton,0
Konstantinos Tsimikas2024-11-24T14:00:00Z,Konstantinos Tsimikas,Liverpool,1
Andrew Robertson2024-11-24T14:00:00Z,Andrew Robertson,Liverpool,1
Joe Gomez2024-11-24T14:00:00Z,Joe Gomez,Liverpool,1
Reece James2024-11-23T12:30:00Z,Reece James,Chelsea,1
Rhys Williams2024-11-24T14:00:00Z,Rhys Williams,Liverpool,0
Jarell Quansah2024-11-24T14:00:00Z,Jarell Quansah,Liverpool,0
Ibrahima Konaté2024-11-24T14:00:00Z,Ibrahima Konaté,Liverpool,1
Alfie Gilchrist2024-11-23T12:30:00Z,Alfie Gilchrist,Chelsea,0
Wesley Fofana2024-11-23T12:30:00Z,Wesley Fofana,Chelsea,1
Virgil van Dijk2024-11-24T14:00:00Z,Virgil van Dijk,Liverpool,1
Ben Chilwell2024-11-23T12:30:00Z,Ben Chilwell,Chelsea,0
Marc Cucurella Saseta2024-11-23T12:30:00Z,Marc Cucurella Saseta,Chelsea,1
Axel Disasi2024-11-23T12:30:00Z,Axel Disasi,Chelsea,0
Conor Bradley2024-11-24T14:00:00Z,Conor Bradley,Liverpool,1
Nathaniel Phillips2024-11-24T14:00:00Z,Nathaniel Phillips,Liverpool,0
Malo Gusto2024-11-23T12:30:00Z,Malo Gusto,Chelsea,1
Tosin Adarabioyo2024-11-23T12:30:00Z,Tosin Adarabioyo,Chelsea,0
Trent Alexander-Arnold2024-11-24T14:00:00Z,Trent Alexander-Arnold,Liverpool,1
Benoît Badiashile2024-11-23T12:30:00Z,Benoît Badiashile,Chelsea,0
Caleb Wiley2024-11-23T12:30:00Z,Caleb Wiley,Chelsea,0
Malang Sarr2024-11-23T12:30:00Z,Malang Sarr,Chelsea,0
Levi Colwill2024-11-23T12:30:00Z,Levi Colwill,Chelsea,1
Alfie Pond2024-11-23T15:00:00Z,Alfie Pond,Wolves,0
Joël Veltman2024-11-23T15:00:00Z,Joël Veltman,Brighton,1
Adam Webster2024-11-23T15:00:00Z,Adam Webster,Brighton,0
Igor Julio dos Santos de Paulo2024-11-23T15:00:00Z,Igor Julio dos Santos de Paulo,Brighton,1
Odeluga Offiah2024-11-23T15:00:00Z,Odeluga Offiah,Brighton,0
Tariq Lamptey2024-11-23T15:00:00Z,Tariq Lamptey,Brighton,0
Pervis Estupiñán2024-11-23T15:00:00Z,Pervis Estupiñán,Brighton,1
Jan Paul van Hecke2024-11-23T15:00:00Z,Jan Paul van Hecke,Brighton,1
Lewis Dunk2024-11-23T15:00:00Z,Lewis Dunk,Brighton,0
Valentín Barco2024-11-23T15:00:00Z,Valentín Barco,Brighton,0
Riccardo Calafiori2024-11-23T15:00:00Z,Riccardo Calafiori,Arsenal,0
Jakub Kiwior2024-11-23T15:00:00Z,Jakub Kiwior,Arsenal,1
William Saliba2024-11-23T15:00:00Z,William Saliba,Arsenal,1
Benjamin White2024-11-23T15:00:00Z,Benjamin White,Arsenal,1
Oleksandr Zinchenko2024-11-23T15:00:00Z,Oleksandr Zinchenko,Arsenal,1
Jurriën Timber2024-11-23T15:00:00Z,Jurriën Timber,Arsenal,1
Gabriel dos Santos Magalhães2024-11-23T15:00:00Z,Gabriel dos Santos Magalhães,Arsenal,1
