index,name,team,minutes
Brandon Austin2024-11-23T17:30:00Z,Brandon Austin,Spurs,0
Fraser Forster2024-11-23T17:30:00Z,Fraser Forster,Spurs,0
Guglielmo Vicario2024-11-23T17:30:00Z,Guglielmo Vicario,Spurs,1
Alfie Whiteman2024-11-23T17:30:00Z,Alfie Whiteman,Spurs,0
Killian Cahill2024-11-23T15:00:00Z,Killian Cahill,Brighton,0
Hákon Valdimarsson2024-11-23T15:00:00Z,Hákon Valdimarsson,Brentford,0
Harvey Davies2024-11-24T14:00:00Z,Harvey Davies,Liverpool,0
Scott Carson2024-11-23T17:30:00Z,Scott Carson,Man City,0
Oliwier Zych2024-11-23T15:00:00Z,Oliwier Zych,Aston Villa,0
Mark Flekken2024-11-23T15:00:00Z,Mark Flekken,Brentford,1
Vítezslav Jaros2024-11-24T14:00:00Z,Vítezslav Jaros,Liverpool,0
Stefan Ortega Moreno2024-11-23T17:30:00Z,Stefan Ortega Moreno,Man City,0
Ederson Santana de Moraes2024-11-23T17:30:00Z,Ederson Santana de Moraes,Man City,1
Filip Jørgensen2024-11-23T12:30:00Z,Filip Jørgensen,Chelsea,0
Đorđe Petrović2024-11-23T12:30:00Z,Đorđe Petrović,Chelsea,0
Robert Sánchez2024-11-23T12:30:00Z,Robert Sánchez,Chelsea,1
Lucas Bergström2024-11-23T12:30:00Z,Lucas Bergström,Chelsea,0
Caoimhin Kelleher2024-11-24T14:00:00Z,Caoimhin Kelleher,Liverpool,1
Marcus Bettinelli2024-11-23T12:30:00Z,Marcus Bettinelli,Chelsea,0
Alisson Ramses Becker2024-11-24T14:00:00Z,Alisson Ramses Becker,Liverpool,0
Tommy Setford2024-11-23T15:00:00Z,Tommy Setford,Arsenal,0
Kepa Arrizabalaga2024-11-23T15:00:00Z,Kepa Arrizabalaga,Bournemouth,1
Carl Rushworth2024-11-23T15:00:00Z,Carl Rushworth,Brighton,0
Jason Steele2024-11-23T15:00:00Z,Jason Steele,Brighton,0
Bart Verbruggen2024-11-23T15:00:00Z,Bart Verbruggen,Brighton,1
David Raya Martin2024-11-23T15:00:00Z,David Raya Martin,Arsenal,1
Karl Hein2024-11-23T15:00:00Z,Karl Hein,Arsenal,0
Emiliano Martínez Romero2024-11-23T15:00:00Z,Emiliano Martínez Romero,Aston Villa,1
Robin Olsen2024-11-23T15:00:00Z,Robin Olsen,Aston Villa,0
Joe Gauci2024-11-23T15:00:00Z,Joe Gauci,Aston Villa,0
Filip Marschall2024-11-23T15:00:00Z,Filip Marschall,Aston Villa,0
Viljami Sinisalo2024-11-23T15:00:00Z,Viljami Sinisalo,Aston Villa,0
Norberto Murara Neto2024-11-23T15:00:00Z,Norberto Murara Neto,Arsenal,0
José Malheiro de Sá2024-11-23T15:00:00Z,José Malheiro de Sá,Wolves,1
Tom King2024-11-23T15:00:00Z,Tom King,Wolves,0
Daniel Bentley2024-11-23T15:00:00Z,Daniel Bentley,Wolves,0
Steven Benda2024-11-23T15:00:00Z,Steven Benda,Fulham,0
Bernd Leno2024-11-23T15:00:00Z,Bernd Leno,Fulham,1
Carlos Miguel dos Santos Pereira2024-11-23T15:00:00Z,Carlos Miguel dos Santos Pereira,Nott'm Forest,0
Mark Travers2024-11-23T15:00:00Z,Mark Travers,Bournemouth,1
Will Dennis2024-11-23T15:00:00Z,Will Dennis,Bournemouth,0
Matz Sels2024-11-23T15:00:00Z,Matz Sels,Nott'm Forest,1
Alex Paulsen2024-11-23T15:00:00Z,Alex Paulsen,Bournemouth,0
Sam Johnstone2024-11-23T15:00:00Z,Sam Johnstone,Wolves,0
Daniel Iversen2024-11-23T12:30:00Z,Daniel Iversen,Leicester,0
Danny Ward2024-11-23T12:30:00Z,Danny Ward,Leicester,0
Jakub Stolarczyk2024-11-23T12:30:00Z,Jakub Stolarczyk,Leicester,0
Mads Hermansen2024-11-23T12:30:00Z,Mads Hermansen,Leicester,1
Asmir Begovic2024-11-23T15:00:00Z,Asmir Begovic,Everton,0
Wes Foderingham2024-11-25T20:00:00Z,Wes Foderingham,West Ham,0
Odysseas Vlachodimos2024-11-25T20:00:00Z,Odysseas Vlachodimos,Newcastle,0
Nick Pope2024-11-25T20:00:00Z,Nick Pope,Newcastle,1
John Ruddy2024-11-25T20:00:00Z,John Ruddy,Newcastle,0
Alphonse Areola2024-11-25T20:00:00Z,Alphonse Areola,West Ham,0
Łukasz Fabiański2024-11-25T20:00:00Z,Łukasz Fabiański,West Ham,1
Martin Dúbravka2024-11-25T20:00:00Z,Martin Dúbravka,Newcastle,0
Tom Heaton2024-11-24T16:30:00Z,Tom Heaton,Man Utd,0
Altay Bayindir2024-11-24T16:30:00Z,Altay Bayindir,Man Utd,0
André Onana2024-11-24T16:30:00Z,André Onana,Man Utd,1
Arijanet Muric2024-11-24T16:30:00Z,Arijanet Muric,Ipswich,1
Christian Walton2024-11-24T16:30:00Z,Christian Walton,Ipswich,0
Cieran Slicker2024-11-24T16:30:00Z,Cieran Slicker,Ipswich,0
Aaron Ramsdale2024-11-24T14:00:00Z,Aaron Ramsdale,Southampton,1
João Neves Virgínia2024-11-23T15:00:00Z,João Neves Virgínia,Everton,0
Jordan Pickford2024-11-23T15:00:00Z,Jordan Pickford,Everton,1
Matt Turner2024-11-23T15:00:00Z,Matt Turner,Crystal Palace,0
Remi Matthews2024-11-23T15:00:00Z,Remi Matthews,Crystal Palace,0
Dean Henderson2024-11-23T15:00:00Z,Dean Henderson,Crystal Palace,1
Gavin Bazunu2024-11-24T14:00:00Z,Gavin Bazunu,Southampton,0
Alex McCarthy2024-11-24T14:00:00Z,Alex McCarthy,Southampton,0
Joe Lumley2024-11-24T14:00:00Z,Joe Lumley,Southampton,0
Mateusz Lis2024-11-24T14:00:00Z,Mateusz Lis,Southampton,0
