,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,team Goal scored,team Goal conceded,element_type_ex,season,mean assists 3,mean assists all,mean bonus 3,mean bonus all,mean bps 3,mean bps all,mean clean_sheets 3,mean clean_sheets all,mean creativity 3,mean creativity all,mean goals_conceded 3,mean goals_conceded all,mean goals_scored 3,mean goals_scored all,mean ict_index 3,mean ict_index all,mean influence 3,mean influence all,mean minutes 3,mean minutes all,mean own_goals 3,mean own_goals all,mean penalties_missed 3,mean penalties_missed all,mean penalties_saved 3,mean penalties_saved all,mean red_cards 3,mean red_cards all,mean saves 3,mean saves all,mean selected 3,mean selected all,mean threat 3,mean threat all,mean total_points 3,mean total_points all,mean transfers_in 3,mean transfers_in all,mean transfers_out 3,mean transfers_out all,mean value 3,mean value all,mean match_result 3,mean match_result all,mean team Goal scored 3,mean team Goal scored all,mean team Goal conceded 3,mean team Goal conceded all,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3,ratio_goal_scored 3,ratio_goal_scored all,opp mean team Goal scored 3,opp mean team Goal conceded 3,opp mean team Goal scored all,opp mean team Goal conceded all,opp mean match_result all
0,1.0,True,2024-10-06T13:00:00Z,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6,12.0,6.0,2.2,62,-14385.0,62237.0,2299.0,16684.0,João Félix Sequeira,61.0,MID,Chelsea,6,1.0,Nott'm Forest,6,17,2.995169082125604,5,,,,,,,,,,,,,,,,,1.0,1.0,,2024-25,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.5999999999999999,1.58,0.0,0.0,0.0,0.2,0.8666666666666667,1.98,0.0,8.28,18.333333333333332,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92262.66666666667,80188.0,7.333333333333333,10.2,0.3333333333333333,1.6,12924.333333333334,27364.8,27810.333333333332,20132.2,64.0,64.4,3.0,2.6,2.6666666666666665,3.0,0.6666666666666666,1.0,-1.0,1.39522996909709,0.6342099196813483,0.0,13.02134998974974,14402.062846072511,5.734883511361751,0.4714045207910317,10476.775595997506,3390.083807551404,0.816496580927726,0.0,6.666666666666667,1.3333333333333333,1.0,1.4,1.0,1.6
1,0.0,False,2024-09-28T11:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,-2374.0,28273.0,0.0,2374.0,João Cavaco Cancelo,53.0,DEF,Man City,6,1.0,Fulham,1,13,3.1736526946107784,4,,,,,,,,,,,,,,,,,1.0,1.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38789.333333333336,53784.2,0.0,0.0,0.0,0.0,543.3333333333334,930.8,16685.666666666668,14036.2,53.0,53.6,2.3333333333333335,2.6,2.3333333333333335,2.6,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,9235.031937621487,0.0,0.0,768.3893688893816,9770.5750882717,0.0,0.0,0.0,1.6666666666666667,1.0,1.8,0.6,2.2
2,2.0,False,2024-09-28T11:30:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.6,15.8,36.0,6.4,65,-58313.0,547491.0,37234.0,95547.0,Bernardo Veiga de Carvalho e Silva,65.0,MID,Man City,6,1.0,Fulham,1,13,3.8922155688622753,2,6.0,9.0,141.0,2576.0,26.0,959.5,747.4,570.0,20.0,604.0,228.0,10.0,0.0,8.0,2.9,62.0,1.0,1.0,,2024-25,0.3333333333333333,0.4,0.6666666666666666,0.4,13.666666666666666,15.2,0.0,0.2,38.36666666666667,33.14,1.0,0.8,0.0,0.0,7.1000000000000005,6.840000000000001,11.0,13.320000000000002,62.0,73.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625402.0,587472.4,21.666666666666668,22.0,3.0,3.4,70130.66666666667,92562.2,112924.66666666667,75629.4,66.0,65.8,2.3333333333333335,2.6,2.3333333333333335,2.6,1.3333333333333333,1.0,10.530379332620877,26.999053481351687,5.219833969262496,9.236160818579693,39.59797974644666,35831.74018473938,18.408935028645434,2.8284271247461903,45542.70855898767,24803.233583995097,0.0,0.0,0.0,1.6666666666666667,1.0,1.8,0.6,2.2
3,0.0,False,2024-09-28T11:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,-4.0,1407.0,109.0,113.0,Nico O'Reilly,50.0,MID,Man City,6,1.0,Fulham,1,13,2.9940119760479043,9,,,,,,,,,,,,,,,,,1.0,1.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.3333333333333,1032.8,0.0,0.0,0.0,0.0,120.33333333333333,91.2,190.0,146.8,50.0,50.0,2.3333333333333335,2.6,2.3333333333333335,2.6,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,106.03563342365413,0.0,0.0,54.70730197047638,57.312011539176204,0.0,0.0,0.0,1.6666666666666667,1.0,1.8,0.6,2.2
4,9.0,False,2024-09-28T11:30:00Z,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,49.0,17.7,25.0,9.2,59,-320020.0,2205744.0,68614.0,388634.0,Joško Gvardiol,62.0,DEF,Man City,6,1.0,Fulham,1,13,3.532934131736527,0,4.0,2.0,123.0,2327.0,23.0,362.2,544.4,389.0,12.0,549.0,129.7,9.0,0.0,3.0,18.1,52.0,1.0,1.0,,2024-25,0.0,0.0,0.0,0.2,11.333333333333334,15.6,0.0,0.2,12.833333333333334,9.92,1.0,0.8,0.0,0.0,5.433333333333334,4.4,15.200000000000001,16.840000000000003,74.0,80.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2816252.6666666665,2904949.6,26.333333333333332,17.2,1.3333333333333333,2.6,80704.0,100618.6,376273.0,239745.4,60.0,60.0,2.3333333333333335,2.6,2.3333333333333335,2.6,1.3333333333333333,1.0,3.858612300930075,3.0269162892657313,2.131248981752771,7.829857384822962,20.54263858417414,259850.5642535511,14.65908895153068,0.4714045207910317,48799.23475492896,70013.12987337924,0.0,0.0,0.0,1.6666666666666667,1.0,1.8,0.6,2.2
5,7.0,False,2024-09-28T11:30:00Z,80.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,33.0,32.2,56.1,15.0,10.3,64,-330.0,24319.0,2566.0,2896.0,Jack Grealish,64.0,MID,Man City,6,1.0,Fulham,1,13,3.8323353293413174,5,3.0,1.0,50.0,998.0,13.0,384.1,240.4,295.0,6.0,199.0,91.9,3.0,0.0,6.0,1.5,72.0,1.0,1.0,,2024-25,0.0,0.0,0.0,0.0,12.0,7.2,0.0,0.0,26.333333333333332,16.28,0.6666666666666666,0.4,0.0,0.0,5.666666666666667,3.66,8.4,5.279999999999999,55.333333333333336,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20913.0,19261.8,21.666666666666668,14.8,1.6666666666666667,1.0,3273.3333333333335,2242.2,2918.6666666666665,2300.0,64.0,64.4,2.3333333333333335,2.6,2.3333333333333335,2.6,1.3333333333333333,1.0,4.320493798938574,7.892753357071002,1.2814921857827393,2.4166091947189146,31.030450993965413,2893.5035280204283,9.809292646374775,0.4714045207910317,1825.3263330764235,805.8462770418574,0.0,0.0,0.0,1.6666666666666667,1.0,1.8,0.6,2.2
6,0.0,False,2024-09-28T11:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,-59230.0,138771.0,3682.0,62912.0,Rodrigo 'Rodri' Hernandez,63.0,MID,Man City,6,1.0,Fulham,1,13,3.8323353293413174,5,,,,,,,,,,,,,,,,,1.0,1.0,,2024-25,0.0,0.0,0.0,0.0,6.0,3.6,0.0,0.0,5.7,3.4200000000000004,0.0,0.0,0.0,0.0,0.9333333333333332,0.5599999999999999,3.6,2.16,21.666666666666668,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190677.0,250226.6,0.0,0.0,0.6666666666666666,0.4,11032.666666666666,6881.0,31428.666666666668,60484.6,64.0,64.2,2.3333333333333335,2.6,2.3333333333333335,2.6,1.3333333333333333,1.0,5.354126134736337,7.502444046220316,1.0498677165349082,3.115552385479446,18.408935028645434,6639.234443819559,0.0,0.4714045207910317,6908.06708775247,22568.165489369214,0.0,0.0,0.0,1.6666666666666667,1.0,1.8,0.6,2.2
7,2.0,False,2024-09-28T11:30:00Z,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.2,6.9,4.0,1.5,47,42289.0,1177465.0,243739.0,201450.0,Rico Lewis,48.0,DEF,Man City,6,1.0,Fulham,1,13,2.81437125748503,7,2.0,0.0,52.0,804.0,9.0,195.9,148.0,114.0,2.0,215.0,45.8,4.0,0.0,1.0,0.4,42.0,1.0,1.0,,2024-25,0.3333333333333333,0.2,0.3333333333333333,0.2,8.333333333333334,11.2,0.0,0.2,9.866666666666667,8.34,0.6666666666666666,0.6,0.0,0.0,2.9333333333333336,3.0799999999999996,16.400000000000002,14.24,45.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908456.6666666666,594363.8,3.3333333333333335,8.4,2.3333333333333335,3.0,362300.0,246355.0,78561.33333333333,50263.8,46.666666666666664,46.0,2.3333333333333335,2.6,2.3333333333333335,2.6,1.3333333333333333,1.0,11.08552609887726,7.165348716023682,2.451303508113365,14.667878737795274,36.742346141747674,335046.7369162431,3.39934634239519,2.6246692913372702,282376.1607891148,12875.122325200988,0.4714045207910317,0.0,0.0,1.6666666666666667,1.0,1.8,0.6,2.2
8,0.0,False,2024-09-28T11:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,-455.0,4743.0,250.0,705.0,James McAtee,47.0,MID,Man City,6,1.0,Fulham,1,13,2.874251497005988,11,3.0,4.0,77.0,1815.0,65.0,394.4,333.8,333.0,0.0,259.0,106.0,2.0,0.0,2.0,0.4,44.0,1.0,1.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.04,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5557.0,6319.8,0.0,0.4,0.0,0.2,478.6666666666667,347.2,1339.0,1170.2,48.666666666666664,49.2,2.3333333333333335,2.6,2.3333333333333335,2.6,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,525.1482330415544,0.0,0.0,221.88936182000452,471.6912832209926,0.4714045207910317,0.0,0.0,1.6666666666666667,1.0,1.8,0.6,2.2
9,2.0,False,2024-09-28T11:30:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.8,5.1,0.0,2.6,53,-19043.0,521053.0,19637.0,38680.0,Kyle Walker,53.0,DEF,Man City,6,1.0,Fulham,1,13,3.1736526946107784,4,0.0,5.0,123.0,2766.0,29.0,534.1,465.4,126.0,13.0,633.0,112.6,10.0,0.0,2.0,15.1,55.0,1.0,1.0,,2024-25,0.0,0.0,0.0,0.0,9.333333333333334,5.6,0.0,0.0,24.0,14.4,1.0,0.6,0.0,0.0,4.3,2.58,12.066666666666668,7.24,56.333333333333336,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569123.0,672203.2,7.0,4.2,1.3333333333333333,0.8,12870.666666666666,12649.0,123946.33333333333,99348.4,53.666666666666664,54.2,2.3333333333333335,2.6,2.3333333333333335,2.6,1.3333333333333333,1.0,5.792715732327589,22.613860056758703,4.178516483155236,11.466279063216435,38.784303812524755,40412.07011112728,7.874007874011811,0.4714045207910317,1601.75764569911,75779.03163951241,0.4714045207910317,0.0,0.0,1.6666666666666667,1.0,1.8,0.6,2.2
