,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,team Goal scored,team Goal conceded,element_type_ex,season,mean assists 3,mean assists all,mean bonus 3,mean bonus all,mean bps 3,mean bps all,mean clean_sheets 3,mean clean_sheets all,mean creativity 3,mean creativity all,mean goals_conceded 3,mean goals_conceded all,mean goals_scored 3,mean goals_scored all,mean ict_index 3,mean ict_index all,mean influence 3,mean influence all,mean minutes 3,mean minutes all,mean own_goals 3,mean own_goals all,mean penalties_missed 3,mean penalties_missed all,mean penalties_saved 3,mean penalties_saved all,mean red_cards 3,mean red_cards all,mean saves 3,mean saves all,mean selected 3,mean selected all,mean threat 3,mean threat all,mean total_points 3,mean total_points all,mean transfers_in 3,mean transfers_in all,mean transfers_out 3,mean transfers_out all,mean value 3,mean value all,mean match_result 3,mean match_result all,mean team Goal scored 3,mean team Goal scored all,mean team Goal conceded 3,mean team Goal conceded all,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3,ratio_goal_scored 3,ratio_goal_scored all,opp mean team Goal scored 3,opp mean team Goal conceded 3,opp mean team Goal scored all,opp mean team Goal conceded all,opp mean match_result all
386,0.0,True,2024-09-21T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-543.0,24112.0,1227.0,1770.0,Hamza Choudhury,44.0,MID,Leicester,5,1.0,Ipswich,20,20,2.966381015161503,9,,,,,,,,,,,,,,,,,1.0,1.0,,2024-25,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.0,0.0,0.09999999999999999,0.075,1.0,0.75,4.666666666666667,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25649.333333333332,25856.75,0.0,0.0,0.3333333333333333,0.25,1797.0,1347.75,3436.0,2577.0,45.0,45.0,0.3333333333333333,0.5,1.3333333333333333,1.25,2.0,1.75,1.8856180831641267,0.0,0.1414213562373095,1.4142135623730951,6.599663291074443,1164.5901520372831,0.0,0.4714045207910317,441.03816917208724,585.0851789839379,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
387,0.0,False,2024-09-21T16:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-992.0,6932.0,0.0,992.0,Hannibal Mejbri,45.0,MID,Man Utd,5,1.0,Chelsea,8,6,2.871729419272495,12,1.0,0.0,11.0,131.0,1.0,29.8,48.2,13.0,0.0,34.0,9.0,1.0,0.0,1.0,0.1,43.0,0.0,0.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10214.333333333334,10560.25,0.0,0.0,0.0,0.0,580.0,435.0,2459.0,1844.25,45.0,45.0,1.0,1.5,1.3333333333333333,1.25,1.6666666666666667,1.25,0.0,0.0,0.0,0.0,0.0,1767.7372228045913,0.0,0.0,419.15470493204134,477.2693160051251,0.0,0.0,0.0,1.6666666666666667,0.3333333333333333,2.75,0.75,2.5
388,0.0,False,2024-09-21T16:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,-6712.0,67705.0,1253.0,7965.0,Harry Maguire,49.0,DEF,Man Utd,5,1.0,Chelsea,8,6,3.190810465858328,0,2.0,4.0,73.0,1650.0,29.0,90.9,493.4,192.0,6.0,351.0,77.7,4.0,0.0,3.0,1.3,43.0,0.0,0.0,,2024-25,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.25,4.3,3.625,0.3333333333333333,0.25,0.0,0.0,1.4666666666666666,1.625,7.0,10.15,38.333333333333336,48.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72830.0,64581.25,3.3333333333333335,2.5,1.0,2.0,7021.0,5265.75,8360.666666666666,6270.5,50.0,50.0,1.0,1.5,1.3333333333333333,1.25,1.6666666666666667,1.25,-1.0,5.457105459856901,1.1897712198383164,6.019966777316965,28.122746823325937,116.02011319881854,2.494438257849294,0.816496580927726,3151.538989128962,3080.6087421518205,0.0,0.0,0.0,1.6666666666666667,0.3333333333333333,2.75,0.75,2.5
389,0.0,True,2024-09-21T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,-70.0,1327.0,0.0,70.0,Harry Souttar,40.0,DEF,Leicester,5,1.0,Ipswich,20,20,2.6367831245880025,4,,,,,,,,,,,,,,,,,1.0,1.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.3333333333333,1789.25,0.0,0.0,0.0,0.0,0.0,0.0,323.0,242.25,40.0,40.0,0.3333333333333333,0.5,1.3333333333333333,1.25,2.0,1.75,0.0,0.0,0.0,0.0,0.0,179.447918783015,0.0,0.0,0.0,137.7049986989095,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
390,2.0,True,2024-09-21T14:00:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.2,48.4,1.0,6.9,45,40308.0,1567079.0,123860.0,83552.0,Harry Winks,45.0,MID,Leicester,5,1.0,Ipswich,20,20,2.966381015161503,9,,,,,,,,,,,,,,,,,1.0,1.0,,2024-25,0.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,9.166666666666666,10.85,2.0,1.75,0.0,0.0,1.9999999999999998,2.375,10.733333333333334,12.700000000000001,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1421929.3333333333,1366982.25,0.0,0.0,1.6666666666666667,1.75,201175.33333333334,150881.5,143141.66666666666,107356.25,45.0,45.0,0.3333333333333333,0.5,1.3333333333333333,1.25,2.0,1.75,0.816496580927726,7.484354050654976,0.6164414002968975,2.499777767900356,0.0,76889.20563309839,0.0,0.4714045207910317,82939.30461220154,64959.629321260414,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
391,1.0,False,2024-09-21T14:00:00Z,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,31.4,1.3,0.0,3.3,45,-2055.0,36971.0,758.0,2813.0,Illia Zabarnyi,44.0,DEF,Bournemouth,5,0.0,Man City,12,1,3.1512605042016806,1,1.0,0.0,84.0,3330.0,67.0,111.1,686.0,117.0,3.0,583.0,91.5,8.0,0.0,5.0,1.9,44.0,0.0,3.0,,2024-25,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,3.766666666666667,3.1,1.3333333333333333,1.25,0.0,0.0,2.233333333333333,2.1,15.4,15.45,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40528.0,39761.0,3.3333333333333335,2.5,1.6666666666666667,1.75,3184.0,2388.0,4860.666666666667,3645.5,45.0,45.0,1.3333333333333333,1.25,1.3333333333333333,1.25,1.3333333333333333,1.25,2.943920288775949,4.763985259796209,0.618241233033047,4.971921157862421,0.0,2633.6307005095964,4.714045207910316,0.4714045207910317,2609.3326094361114,2184.958021463011,0.0,0.0,0.0,3.0,1.0,2.75,0.75,3.0
392,0.0,False,2024-09-21T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-4102.0,25952.0,0.0,4102.0,Jaidon Anthony,45.0,MID,Bournemouth,5,0.0,Man City,12,1,3.1512605042016806,12,0.0,0.0,3.0,151.0,5.0,4.6,9.0,16.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,49.0,0.0,3.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38961.0,39510.5,0.0,0.0,0.0,0.0,2793.6666666666665,2095.25,8894.333333333334,6670.75,45.0,45.0,1.3333333333333333,1.25,1.3333333333333333,1.25,1.3333333333333333,1.25,0.0,0.0,0.0,0.0,0.0,6757.3743914827355,0.0,0.0,2016.9171745237556,2840.5065667157955,0.0,0.0,0.0,3.0,1.0,2.75,0.75,3.0
393,0.0,True,2024-09-21T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,22.0,4701.0,247.0,225.0,Jakub Stolarczyk,40.0,GKP,Leicester,5,1.0,Ipswich,20,20,2.6367831245880025,1,,,,,,,,,,,,,,,,,1.0,1.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4594.666666666667,4516.5,0.0,0.0,0.0,0.0,462.3333333333333,346.75,481.0,360.75,40.0,40.0,0.3333333333333333,0.5,1.3333333333333333,1.25,2.0,1.75,0.0,0.0,0.0,0.0,0.0,75.53512795749774,0.0,0.0,139.87931306030288,139.21446285018905,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
394,0.0,False,2024-09-21T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,-657.0,38605.0,1345.0,2002.0,James Hill,40.0,DEF,Bournemouth,5,0.0,Man City,12,1,2.8011204481792715,8,0.0,0.0,5.0,74.0,1.0,2.2,32.6,0.0,0.0,22.0,3.5,0.0,0.0,0.0,0.1,40.0,0.0,3.0,,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37367.333333333336,35757.0,0.0,0.0,0.0,0.0,3161.0,2370.75,3716.6666666666665,2787.5,40.0,40.0,1.3333333333333333,1.25,1.3333333333333333,1.25,1.3333333333333333,1.25,0.0,0.0,0.0,0.0,0.0,1292.8689888083102,0.0,0.0,809.2304986837804,527.5859066435426,0.0,0.0,0.0,3.0,1.0,2.75,0.75,3.0
395,2.0,True,2024-09-21T14:00:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.4,16.3,0.0,3.9,45,1225.0,29264.0,3469.0,2244.0,James Justin,46.0,DEF,Leicester,5,1.0,Ipswich,20,20,2.966381015161503,0,,,,,,,,,,,,,,,,,1.0,1.0,,2024-25,0.0,0.0,0.0,0.0,5.666666666666667,8.0,0.0,0.0,1.0,3.025,2.0,1.75,0.0,0.0,1.4000000000000001,2.0,10.866666666666667,14.15,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28316.666666666668,27012.75,2.3333333333333335,3.0,1.0,1.25,2625.3333333333335,1969.0,3585.6666666666665,2689.25,45.0,45.0,0.3333333333333333,0.5,1.3333333333333333,1.25,2.0,1.75,3.299831645537222,0.7788880963698616,0.37416573867739417,5.118159391378463,0.0,1252.0195241644153,1.699673171197595,0.0,1229.110880089976,1222.845406782431,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
