index,name,team,points,value
Chris Wood2024-11-10T14:00:00Z,Chris Wood,Nott'm Forest,5.003336481,65
Ollie Watkins2024-11-09T20:00:00Z,Ollie Watkins,Aston Villa,4.941961731,90
Erling Haaland2024-11-09T17:30:00Z,Erling Haaland,Man City,4.765535378,153
Matheus Santos Carneiro Da Cunha2024-11-09T15:00:00Z,Matheus Santos Carneiro Da Cunha,Wolves,4.275307522,67
Danny Welbeck2024-11-09T17:30:00Z,Danny Welbeck,Brighton,3.897558739,59
Nicolas Jackson2024-11-10T16:30:00Z,Nicolas Jackson,Chelsea,3.889328148,79
Dominic Solanke-Mitchell2024-11-10T14:00:00Z,Dominic Solanke-Mitchell,Spurs,3.885299158,77
Jørgen Strand Larsen2024-11-09T15:00:00Z,Jørgen Strand Larsen,Wolves,3.835269314,56
Raúl Jiménez2024-11-09T15:00:00Z,Raúl Jiménez,Fulham,3.256452153,58
Rasmus Højlund2024-11-10T14:00:00Z,Rasmus Højlund,Man Utd,3.162263508,69
Kai Havertz2024-11-10T16:30:00Z,Kai Havertz,Arsenal,3.102606928,81
Yoane Wissa2024-11-09T15:00:00Z,Yoane Wissa,Brentford,3.038063739,60
Jean-Philippe Mateta2024-11-09T15:00:00Z,Jean-Philippe Mateta,Crystal Palace,3.034931573,73
Michail Antonio2024-11-09T15:00:00Z,Michail Antonio,West Ham,2.988349821,54
Alexander Isak2024-11-10T14:00:00Z,Alexander Isak,Newcastle,2.888360834,83
Jamie Vardy2024-11-10T14:00:00Z,Jamie Vardy,Leicester,2.848664178,57
Iliman Ndiaye2024-11-09T15:00:00Z,Iliman Ndiaye,Everton,2.775016426,54
Cameron Archer2024-11-09T15:00:00Z,Cameron Archer,Southampton,2.745212147,50
Eddie Nketiah2024-11-09T15:00:00Z,Eddie Nketiah,Crystal Palace,2.663675935,59
Francisco Evanilson de Lima Barbosa2024-11-09T15:00:00Z,Francisco Evanilson de Lima Barbosa,Bournemouth,2.497697873,59
Cody Gakpo2024-11-09T20:00:00Z,Cody Gakpo,Liverpool,2.370311077,71
Darwin Núñez Ribeiro2024-11-09T20:00:00Z,Darwin Núñez Ribeiro,Liverpool,2.350401308,71
Dominic Calvert-Lewin2024-11-09T15:00:00Z,Dominic Calvert-Lewin,Everton,2.326591191,59
Adam Armstrong2024-11-09T15:00:00Z,Adam Armstrong,Southampton,2.190895159,51
Richarlison de Andrade2024-11-10T14:00:00Z,Richarlison de Andrade,Spurs,2.166275856,68
George Hirst2024-11-10T14:00:00Z,George Hirst,Ipswich,2.161138356,54
Joshua Zirkzee2024-11-10T14:00:00Z,Joshua Zirkzee,Man Utd,2.138280813,66
Liam Delap2024-11-10T14:00:00Z,Liam Delap,Ipswich,2.044915613,57
Norberto Bercique Gomes Betuncal2024-11-09T15:00:00Z,Norberto Bercique Gomes Betuncal,Everton,1.607713497,50
Jhon Durán2024-11-09T20:00:00Z,Jhon Durán,Aston Villa,1.47487977,60
Taiwo Awoniyi2024-11-10T14:00:00Z,Taiwo Awoniyi,Nott'm Forest,1.385427381,56
Danny Ings2024-11-09T15:00:00Z,Danny Ings,West Ham,1.377109827,50
Evan Ferguson2024-11-09T17:30:00Z,Evan Ferguson,Brighton,1.338709065,55
Gabriel Fernando de Jesus2024-11-10T16:30:00Z,Gabriel Fernando de Jesus,Arsenal,1.279427714,68
Enes Ünal2024-11-09T15:00:00Z,Enes Ünal,Bournemouth,1.215472245,54
Rodrigo Muniz Carvalho2024-11-09T15:00:00Z,Rodrigo Muniz Carvalho,Fulham,1.141628959,56
Paul Onuachu2024-11-09T15:00:00Z,Paul Onuachu,Southampton,0.911964823,49
