index,name,team,points,value
Pedro Porro2024-11-10T14:00:00Z,Pedro Porro,Spurs,4.084854487,55
Trent Alexander-Arnold2024-11-09T20:00:00Z,Trent Alexander-Arnold,Liverpool,3.500475229,70
Diogo Dalot Teixeira2024-11-10T14:00:00Z,Diogo Dalot Teixeira,Man Utd,3.476994592,51
Destiny Udogie2024-11-10T14:00:00Z,Destiny Udogie,Spurs,3.389951303,49
Rayan Aït-Nouri2024-11-09T15:00:00Z,Rayan Aït-Nouri,Wolves,3.317286832,47
Murillo Santiago Costa dos Santos2024-11-10T14:00:00Z,Murillo Santiago Costa dos Santos,Nott'm Forest,3.285671489,45
Nikola Milenković2024-11-10T14:00:00Z,Nikola Milenković,Nott'm Forest,3.228750809,45
Matthijs de Ligt2024-11-10T14:00:00Z,Matthijs de Ligt,Man Utd,3.180823202,50
Nathan Collins2024-11-09T15:00:00Z,Nathan Collins,Brentford,3.167128879,45
Marc Guéhi2024-11-09T15:00:00Z,Marc Guéhi,Crystal Palace,3.093369692,44
Nélson Cabral Semedo2024-11-09T15:00:00Z,Nélson Cabral Semedo,Wolves,3.033385764,45
Daniel Muñoz2024-11-09T15:00:00Z,Daniel Muñoz,Crystal Palace,3.019853628,48
Max Kilman2024-11-09T15:00:00Z,Max Kilman,West Ham,2.993140464,45
Lisandro Martínez2024-11-10T14:00:00Z,Lisandro Martínez,Man Utd,2.987327611,44
Antonee Robinson2024-11-09T15:00:00Z,Antonee Robinson,Fulham,2.975160514,47
Cristian Romero2024-11-10T14:00:00Z,Cristian Romero,Spurs,2.915761488,51
Maxence Lacroix2024-11-09T15:00:00Z,Maxence Lacroix,Crystal Palace,2.913511156,45
Álex Moreno Lopera2024-11-10T14:00:00Z,Álex Moreno Lopera,Nott'm Forest,2.910780547,44
Lewis Hall2024-11-10T14:00:00Z,Lewis Hall,Newcastle,2.880526412,43
Tyrick Mitchell2024-11-09T15:00:00Z,Tyrick Mitchell,Crystal Palace,2.866379441,49
Virgil van Dijk2024-11-09T20:00:00Z,Virgil van Dijk,Liverpool,2.815420395,62
Craig Dawson2024-11-09T15:00:00Z,Craig Dawson,Wolves,2.811571899,44
Santiago Bueno2024-11-09T15:00:00Z,Santiago Bueno,Wolves,2.806432413,43
Aaron Wan-Bissaka2024-11-09T15:00:00Z,Aaron Wan-Bissaka,West Ham,2.806063678,44
Emerson Palmieri dos Santos2024-11-09T15:00:00Z,Emerson Palmieri dos Santos,West Ham,2.769755339,44
Ethan Pinnock2024-11-09T15:00:00Z,Ethan Pinnock,Brentford,2.727542493,45
Trevoh Chalobah2024-11-09T15:00:00Z,Trevoh Chalobah,Crystal Palace,2.683885886,44
James Tarkowski2024-11-09T15:00:00Z,James Tarkowski,Everton,2.683091012,48
Fabian Schär2024-11-10T14:00:00Z,Fabian Schär,Newcastle,2.654523249,54
Ashley Young2024-11-09T15:00:00Z,Ashley Young,Everton,2.626681403,45
Lucas Digne2024-11-09T20:00:00Z,Lucas Digne,Aston Villa,2.621116113,47
Joško Gvardiol2024-11-09T17:30:00Z,Joško Gvardiol,Man City,2.57083891,62
Ola Aina2024-11-10T14:00:00Z,Ola Aina,Nott'm Forest,2.563776776,47
Vitalii Mykolenko2024-11-09T15:00:00Z,Vitalii Mykolenko,Everton,2.5106699,43
Calvin Bassey2024-11-09T15:00:00Z,Calvin Bassey,Fulham,2.465110965,45
Micky van de Ven2024-11-10T14:00:00Z,Micky van de Ven,Spurs,2.452630348,46
Kyle Walker-Peters2024-11-09T15:00:00Z,Kyle Walker-Peters,Southampton,2.411857254,44
Dan Burn2024-11-10T14:00:00Z,Dan Burn,Newcastle,2.411359092,44
Noussair Mazraoui2024-11-10T14:00:00Z,Noussair Mazraoui,Man Utd,2.384235471,45
Michael Keane2024-11-09T15:00:00Z,Michael Keane,Everton,2.367450378,43
Milos Kerkez2024-11-09T15:00:00Z,Milos Kerkez,Bournemouth,2.361463187,44
Taylor Harwood-Bellis2024-11-09T15:00:00Z,Taylor Harwood-Bellis,Southampton,2.332530068,41
Ferdi Kadioglu2024-11-09T17:30:00Z,Ferdi Kadioglu,Brighton,2.262237779,45
Levi Colwill2024-11-10T16:30:00Z,Levi Colwill,Chelsea,2.259589366,46
Marcos Senesi2024-11-09T15:00:00Z,Marcos Senesi,Bournemouth,2.254220984,48
Illia Zabarnyi2024-11-09T15:00:00Z,Illia Zabarnyi,Bournemouth,2.209190072,44
Rico Lewis2024-11-09T17:30:00Z,Rico Lewis,Man City,2.206794778,49
Ibrahima Konaté2024-11-09T20:00:00Z,Ibrahima Konaté,Liverpool,2.15474682,53
Kenny Tete2024-11-09T15:00:00Z,Kenny Tete,Fulham,2.147228033,45
Joël Veltman2024-11-09T17:30:00Z,Joël Veltman,Brighton,2.108126367,45
Leif Davis2024-11-10T14:00:00Z,Leif Davis,Ipswich,2.086814894,45
Toti António Gomes2024-11-09T15:00:00Z,Toti António Gomes,Wolves,2.086543294,43
Tino Livramento2024-11-10T14:00:00Z,Tino Livramento,Newcastle,2.083493391,45
Igor Julio dos Santos de Paulo2024-11-09T17:30:00Z,Igor Julio dos Santos de Paulo,Brighton,2.057237562,44
Pau Torres2024-11-09T20:00:00Z,Pau Torres,Aston Villa,2.047153301,45
Sepp van den Berg2024-11-09T15:00:00Z,Sepp van den Berg,Brentford,2.044950406,40
Manuel Akanji2024-11-09T17:30:00Z,Manuel Akanji,Man City,1.983652084,55
Malo Gusto2024-11-10T16:30:00Z,Malo Gusto,Chelsea,1.966287574,49
Reece James2024-11-10T16:30:00Z,Reece James,Chelsea,1.963159648,49
Ryan Manning2024-11-09T15:00:00Z,Ryan Manning,Southampton,1.947039523,43
Rúben Gato Alves Dias2024-11-09T17:30:00Z,Rúben Gato Alves Dias,Man City,1.87627321,55
Jean-Clair Todibo2024-11-09T15:00:00Z,Jean-Clair Todibo,West Ham,1.857295202,43
Jan Paul van Hecke2024-11-09T17:30:00Z,Jan Paul van Hecke,Brighton,1.818042815,45
Jack Stephens2024-11-09T15:00:00Z,Jack Stephens,Southampton,1.799098954,40
Wout Faes2024-11-10T14:00:00Z,Wout Faes,Leicester,1.79849361,42
Gabriel dos Santos Magalhães2024-11-10T16:30:00Z,Gabriel dos Santos Magalhães,Arsenal,1.777185207,62
Mads Roerslev Rasmussen2024-11-09T15:00:00Z,Mads Roerslev Rasmussen,Brentford,1.770033477,44
John Stones2024-11-09T17:30:00Z,John Stones,Man City,1.762513003,53
James Justin2024-11-10T14:00:00Z,James Justin,Leicester,1.742535334,46
Andrew Robertson2024-11-09T20:00:00Z,Andrew Robertson,Liverpool,1.73544012,59
Benjamin White2024-11-10T16:30:00Z,Benjamin White,Arsenal,1.711863116,62
