index,name,team,minutes
Josh Nichols2024-11-10T16:30:00Z,Josh Nichols,Arsenal,0
Issa Kaboré2024-11-09T17:30:00Z,Issa Kaboré,Man City,0
Ben Davies2024-11-10T14:00:00Z,Ben Davies,Spurs,0
Ashley Phillips2024-11-10T14:00:00Z,Ashley Phillips,Spurs,0
Emerson Leite de Souza Junior2024-11-10T14:00:00Z,Emerson Leite de Souza Junior,Spurs,0
Djed Spence2024-11-10T14:00:00Z,Djed Spence,Spurs,0
Cristian Romero2024-11-10T14:00:00Z,Cristian Romero,Spurs,1
Destiny Udogie2024-11-10T14:00:00Z,Destiny Udogie,Spurs,1
Sergio Reguilón2024-11-10T14:00:00Z,Sergio Reguilón,Spurs,0
Micky van de Ven2024-11-10T14:00:00Z,Micky van de Ven,Spurs,1
Pedro Porro2024-11-10T14:00:00Z,Pedro Porro,Spurs,1
Radu Drăgușin2024-11-10T14:00:00Z,Radu Drăgușin,Spurs,1
Jayden Meghoma2024-11-09T15:00:00Z,Jayden Meghoma,Brentford,0
John Stones2024-11-09T17:30:00Z,John Stones,Man City,1
Rico Lewis2024-11-09T17:30:00Z,Rico Lewis,Man City,1
Rúben Gato Alves Dias2024-11-09T17:30:00Z,Rúben Gato Alves Dias,Man City,1
Nathan Aké2024-11-09T17:30:00Z,Nathan Aké,Man City,1
João Cavaco Cancelo2024-11-09T17:30:00Z,João Cavaco Cancelo,Man City,0
Joško Gvardiol2024-11-09T17:30:00Z,Joško Gvardiol,Man City,1
Manuel Akanji2024-11-09T17:30:00Z,Manuel Akanji,Man City,1
Kyle Walker2024-11-09T17:30:00Z,Kyle Walker,Man City,1
Tosin Adarabioyo2024-11-10T16:30:00Z,Tosin Adarabioyo,Chelsea,0
Caleb Wiley2024-11-10T16:30:00Z,Caleb Wiley,Chelsea,0
Levi Colwill2024-11-10T16:30:00Z,Levi Colwill,Chelsea,1
Ayden Heaven2024-11-10T16:30:00Z,Ayden Heaven,Arsenal,0
Marc Cucurella Saseta2024-11-10T16:30:00Z,Marc Cucurella Saseta,Chelsea,1
Axel Disasi2024-11-10T16:30:00Z,Axel Disasi,Chelsea,0
Imari Samuels2024-11-09T17:30:00Z,Imari Samuels,Brighton,0
Wesley Fofana2024-11-10T16:30:00Z,Wesley Fofana,Chelsea,1
Malang Sarr2024-11-10T16:30:00Z,Malang Sarr,Chelsea,0
Maldini Kacurri2024-11-10T16:30:00Z,Maldini Kacurri,Arsenal,0
Malo Gusto2024-11-10T16:30:00Z,Malo Gusto,Chelsea,1
