,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,103,Chelsea,0,False,2024-11-10T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-18,1215,0,18,1,Fábio Ferreira Vieira,54,MID,Chelsea,Arsenal,Arsenal
1,2,103,Chelsea,1,False,2024-11-10T16:30:00Z,1,1,11,9,0,0,0,0,0,0,0,0,0,0,0,1,0.8,1.0,0.0,0.2,0,0.00,0.00,0.00,0.04,68,-2957,97572,1427,4384,2,Gabriel Fernando de Jesus,68,FWD,Chelsea,Arsenal,Arsenal
2,3,103,Chelsea,2,False,2024-11-10T16:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,14,21.6,12.0,4.0,3.8,1,0.00,0.23,0.23,1.28,62,-93428,2339528,39875,133303,3,Gabriel dos Santos Magalhães,61,DEF,Chelsea,Arsenal,Arsenal
3,4,103,Chelsea,1,False,2024-11-10T16:30:00Z,1,1,11,90,0,0,0,1,0,0,0,1,0,0,0,2,12.0,13.2,2.0,2.7,1,0.00,0.01,0.01,1.28,80,-367479,1257354,10408,377887,4,Kai Havertz,80,FWD,Chelsea,Arsenal,Arsenal
4,5,103,Chelsea,0,False,2024-11-10T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-91,3722,0,91,5,Karl Hein,40,GKP,Chelsea,Arsenal,Arsenal
5,6,103,Chelsea,2,False,2024-11-10T16:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,3,12.0,1.5,1.0,1.5,1,0.04,0.01,0.05,1.28,55,-5918,139504,7533,13451,6,Jurriën Timber,55,DEF,Chelsea,Arsenal,Arsenal
6,7,103,Chelsea,0,False,2024-11-10T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-1047,25557,384,1431,7,Jorge Luiz Frello Filho,48,MID,Chelsea,Arsenal,Arsenal
7,8,103,Chelsea,0,False,2024-11-10T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-830,16531,288,1118,8,Jakub Kiwior,48,DEF,Chelsea,Arsenal,Arsenal
8,9,103,Chelsea,8,False,2024-11-10T16:30:00Z,1,1,11,70,1,0,0,1,0,0,0,0,0,0,1,25,37.2,1.4,52.0,9.1,1,0.48,0.00,0.48,1.22,69,-60643,359318,10823,71466,9,Gabriel Martinelli Silva,69,MID,Chelsea,Arsenal,Arsenal
9,12,103,Chelsea,0,False,2024-11-10T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,974,35853,3683,2709,12,Ethan Nwaneri,45,MID,Chelsea,Arsenal,Arsenal
10,13,103,Chelsea,7,False,2024-11-10T16:30:00Z,1,1,11,90,0,1,0,1,0,0,0,0,0,0,2,26,28.4,50.7,6.0,8.5,1,0.11,0.23,0.34,1.28,82,7071,349669,11410,4339,13,Martin Ødegaard,82,MID,Chelsea,Arsenal,Arsenal
11,15,103,Chelsea,2,False,2024-11-10T16:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,2,0,17,20.2,0.0,0.0,2.0,1,0.00,0.00,0.00,1.28,56,-112081,3095312,20560,132641,15,David Raya Martin,56,GKP,Chelsea,Arsenal,Arsenal
12,16,103,Chelsea,2,False,2024-11-10T16:30:00Z,1,1,11,70,0,0,0,1,0,0,0,0,0,0,0,11,9.0,5.7,2.0,1.7,1,0.00,0.07,0.07,1.22,63,-20244,293833,4932,25176,16,Declan Rice,63,MID,Chelsea,Arsenal,Arsenal
13,17,103,Chelsea,2,False,2024-11-10T16:30:00Z,1,1,11,80,0,0,0,1,0,0,0,0,0,0,0,3,1.4,3.4,9.0,1.4,1,0.03,0.01,0.04,1.24,101,37774,2732842,170244,132470,17,Bukayo Saka,101,MID,Chelsea,Arsenal,Arsenal
14,18,103,Chelsea,2,False,2024-11-10T16:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,18,16.6,22.3,4.0,4.3,1,0.00,0.26,0.26,1.28,60,-81301,2368808,20567,101868,18,William Saliba,60,DEF,Chelsea,Arsenal,Arsenal
15,20,103,Chelsea,2,False,2024-11-10T16:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,11,9.4,5.7,7.0,2.2,1,0.19,0.02,0.21,1.28,50,-9816,111149,2465,12281,20,Thomas Partey,50,MID,Chelsea,Arsenal,Arsenal
16,21,103,Chelsea,0,False,2024-11-10T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-16,2368,46,62,21,Kieran Tierney,43,DEF,Chelsea,Arsenal,Arsenal
17,22,103,Chelsea,0,False,2024-11-10T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-100,4021,58,158,22,Tomiyasu Takehiro,48,DEF,Chelsea,Arsenal,Arsenal
18,23,103,Chelsea,1,False,2024-11-10T16:30:00Z,1,1,11,19,0,0,0,0,0,0,0,0,0,0,0,1,1.4,11.3,11.0,2.4,0,0.03,0.02,0.05,0.06,69,-36080,221472,5217,41297,23,Leandro Trossard,69,MID,Chelsea,Arsenal,Arsenal
19,24,103,Chelsea,1,False,2024-11-10T16:30:00Z,1,1,11,90,0,0,0,1,0,0,0,1,0,0,0,6,18.2,12.9,8.0,3.9,1,0.02,0.18,0.20,1.28,62,-17374,425618,4130,21504,24,Benjamin White,62,DEF,Chelsea,Arsenal,Arsenal
20,25,103,Chelsea,0,False,2024-11-10T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-1711,109869,1132,2843,25,Oleksandr Zinchenko,48,DEF,Chelsea,Arsenal,Arsenal
21,73,103,Chelsea,0,False,2024-11-10T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-4356,111837,377,4733,73,Norberto Murara Neto,43,GKP,Chelsea,Arsenal,Arsenal
22,186,103,Chelsea,0,False,2024-11-10T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,67,-6113,99551,122,6235,186,Raheem Sterling,67,MID,Chelsea,Arsenal,Arsenal
23,578,103,Chelsea,0,False,2024-11-10T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,58,-21713,151207,153,21866,578,Riccardo Calafiori,58,DEF,Chelsea,Arsenal,Arsenal
24,597,103,Chelsea,0,False,2024-11-10T16:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-163,6715,277,440,597,Myles Lewis-Skelly,45,MID,Chelsea,Arsenal,Arsenal
25,28,105,Liverpool,2,False,2024-11-09T20:00:00Z,2,0,11,64,0,0,0,1,0,0,0,0,0,0,0,6,0.0,2.3,8.0,0.9,1,0.05,0.02,0.07,1.18,63,-7448,108039,2219,9667,28,Leon Bailey,63,MID,Liverpool,Aston Villa,Aston Villa
26,29,105,Liverpool,0,False,2024-11-09T20:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,52,-5627,33909,28,5655,29,Ross Barkley,52,MID,Liverpool,Aston Villa,Aston Villa
27,30,105,Liverpool,0,False,2024-11-09T20:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-43,2249,0,43,30,Enzo Barrenechea,49,MID,Liverpool,Aston Villa,Aston Villa
28,31,105,Liverpool,0,False,2024-11-09T20:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-331,9165,168,499,31,Emiliano Buendía Stati,52,MID,Liverpool,Aston Villa,Aston Villa
29,32,105,Liverpool,0,False,2024-11-09T20:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-13453,120334,1094,14547,32,Matty Cash,44,DEF,Liverpool,Aston Villa,Aston Villa
30,33,105,Liverpool,0,False,2024-11-09T20:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-1662,30209,0,1662,33,Leander Dendoncker,45,MID,Liverpool,Aston Villa,Aston Villa
31,34,105,Liverpool,0,False,2024-11-09T20:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,65,-16,1783,0,16,34,Moussa Diaby,65,MID,Liverpool,Aston Villa,Aston Villa
32,35,105,Liverpool,1,False,2024-11-09T20:00:00Z,2,0,11,90,0,0,0,2,0,0,0,0,0,0,0,-1,5.4,0.1,33.0,3.9,1,0.06,0.00,0.06,2.02,45,-1662,48644,1668,3330,35,Diego Carlos Santos Silva,45,DEF,Liverpool,Aston Villa,Aston Villa
33,36,105,Liverpool,2,False,2024-11-09T20:00:00Z,2,0,11,73,0,0,0,1,0,0,0,0,0,0,0,7,12.8,33.0,9.0,5.5,1,0.23,0.15,0.38,1.35,47,-40687,970076,38273,78960,36,Lucas Digne,47,DEF,Liverpool,Aston Villa,Aston Villa
34,37,105,Liverpool,0,False,2024-11-09T20:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-1,222,0,1,37,Lewis Dobbin,50,MID,Liverpool,Aston Villa,Aston Villa
35,38,105,Liverpool,1,False,2024-11-09T20:00:00Z,2,0,11,25,0,0,0,1,0,0,0,0,0,0,0,3,2.2,0.3,2.0,0.5,0,0.00,0.00,0.00,0.84,60,-85945,398736,7230,93175,38,Jhon Durán,60,FWD,Liverpool,Aston Villa,Aston Villa
36,39,105,Liverpool,0,False,2024-11-09T20:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1045,92181,1068,2113,39,Joe Gauci,40,GKP,Liverpool,Aston Villa,Aston Villa
