,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,11,Aston Villa,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,-790,2321,84,874,1,Fábio Ferreira Vieira,54,MID,Newcastle,Arsenal,Arsenal
1,2,11,Aston Villa,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,69,-53975,176166,12170,66145,2,Gabriel Fernando de Jesus,68,FWD,Newcastle,Arsenal,Arsenal
2,3,11,Aston Villa,6,False,2024-08-24T16:30:00Z,0,2,2,90,0,0,1,0,0,0,0,1,0,0,1,25,21.4,1.9,0.0,2.3,1,0.00,0.02,0.02,1.28,60,-25184,1248259,36723,61907,3,Gabriel dos Santos Magalhães,63,DEF,Newcastle,Arsenal,Arsenal
3,4,11,Aston Villa,2,False,2024-08-24T16:30:00Z,0,2,2,90,0,0,1,0,0,0,0,0,0,0,0,-2,0.0,6.1,15.0,2.0,1,0.21,0.03,0.24,1.28,81,285826,1638743,350954,65128,4,Kai Havertz,82,FWD,Newcastle,Arsenal,Arsenal
4,5,11,Aston Villa,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1230,6016,0,1230,5,Karl Hein,40,GKP,Newcastle,Arsenal,Arsenal
5,6,11,Aston Villa,6,False,2024-08-24T16:30:00Z,0,2,2,78,0,0,1,0,0,0,0,0,0,0,0,24,3.4,4.7,2.0,1.0,1,0.00,0.01,0.01,1.12,55,-7683,77673,4299,11982,6,Jurriën Timber,55,DEF,Newcastle,Arsenal,Arsenal
6,7,11,Aston Villa,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-4149,28506,2615,6764,7,Jorge Luiz Frello Filho,48,MID,Newcastle,Arsenal,Arsenal
7,8,11,Aston Villa,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-3242,17038,708,3950,8,Jakub Kiwior,48,DEF,Newcastle,Arsenal,Arsenal
8,9,11,Aston Villa,3,False,2024-08-24T16:30:00Z,0,2,2,64,0,0,1,0,0,0,0,0,0,0,0,9,6.4,26.3,10.0,4.3,1,0.00,0.41,0.41,1.12,70,-12758,275265,21172,33930,9,Gabriel Martinelli Silva,70,MID,Newcastle,Arsenal,Arsenal
9,12,11,Aston Villa,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-452,20276,2466,2918,12,Ethan Nwaneri,45,MID,Newcastle,Arsenal,Arsenal
10,13,11,Aston Villa,2,False,2024-08-24T16:30:00Z,0,2,2,90,0,0,1,0,0,0,0,1,0,0,0,4,9.4,34.2,20.0,6.4,1,0.26,0.60,0.86,1.28,85,-127842,1384608,28847,156689,13,Martin Ødegaard,82,MID,Newcastle,Arsenal,Arsenal
11,15,11,Aston Villa,10,False,2024-08-24T16:30:00Z,0,2,2,90,0,0,1,0,0,0,0,0,0,3,3,27,28.2,0.0,0.0,2.8,1,0.00,0.00,0.00,1.28,55,-16603,2377063,71675,88278,15,David Raya Martin,56,GKP,Newcastle,Arsenal,Arsenal
12,16,11,Aston Villa,2,False,2024-08-24T16:30:00Z,0,2,2,90,0,0,1,0,0,0,0,1,0,0,0,18,18.8,12.3,21.0,5.2,1,0.07,0.11,0.18,1.28,65,-44297,573607,25416,69713,16,Declan Rice,63,MID,Newcastle,Arsenal,Arsenal
13,17,11,Aston Villa,6,False,2024-08-24T16:30:00Z,0,2,2,87,0,1,1,0,0,0,0,0,0,0,0,21,27.8,27.4,27.0,8.2,1,0.05,0.10,0.15,1.25,100,141942,3227441,240288,98346,17,Bukayo Saka,100,MID,Newcastle,Arsenal,Arsenal
14,18,11,Aston Villa,6,False,2024-08-24T16:30:00Z,0,2,2,90,0,0,1,0,0,0,0,0,0,0,0,24,23.8,1.2,0.0,2.5,1,0.00,0.01,0.01,1.28,60,-54391,3770895,71155,125546,18,William Saliba,60,DEF,Newcastle,Arsenal,Arsenal
15,20,11,Aston Villa,11,False,2024-08-24T16:30:00Z,0,2,2,90,1,0,1,0,0,0,0,0,0,0,3,27,39.4,7.5,8.0,5.5,1,0.10,0.08,0.18,1.28,50,2274,14479,4346,2072,20,Thomas Partey,50,MID,Newcastle,Arsenal,Arsenal
