,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,21,Brighton,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-279,2397,355,634,1,Fábio Ferreira Vieira,54,MID,Newcastle,Arsenal,Arsenal
1,2,21,Brighton,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,68,-72583,106691,3238,75821,2,Gabriel Fernando de Jesus,68,FWD,Newcastle,Arsenal,Arsenal
2,3,21,Brighton,2,True,2024-08-31T11:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,17,20.8,20.8,9.0,5.1,1,0.12,0.01,0.13,1.83,60,853,1296327,86679,85826,3,Gabriel dos Santos Magalhães,63,DEF,Newcastle,Arsenal,Arsenal
3,4,21,Brighton,8,True,2024-08-31T11:30:00Z,1,1,3,90,1,0,0,1,0,0,0,0,0,0,2,34,47.0,24.8,30.0,10.2,1,0.77,0.05,0.82,1.83,81,63441,1755160,307787,244346,4,Kai Havertz,82,FWD,Newcastle,Arsenal,Arsenal
4,5,21,Brighton,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-706,5334,0,706,5,Karl Hein,40,GKP,Newcastle,Arsenal,Arsenal
5,6,21,Brighton,1,True,2024-08-31T11:30:00Z,1,1,3,79,0,0,0,1,0,0,0,1,0,0,0,3,12.8,10.6,4.0,2.7,1,0.00,0.02,0.02,1.55,55,14520,102931,28883,14363,6,Jurriën Timber,55,DEF,Newcastle,Arsenal,Arsenal
6,7,21,Brighton,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-3634,27279,3276,6910,7,Jorge Luiz Frello Filho,48,MID,Newcastle,Arsenal,Arsenal
7,8,21,Brighton,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-2401,15992,828,3229,8,Jakub Kiwior,48,DEF,Newcastle,Arsenal,Arsenal
8,9,21,Brighton,1,True,2024-08-31T11:30:00Z,1,1,3,16,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,0.0,0.0,0,0.00,0.00,0.00,0.65,70,-35321,249418,21818,57139,9,Gabriel Martinelli Silva,70,MID,Newcastle,Arsenal,Arsenal
9,12,21,Brighton,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-497,21665,3931,4428,12,Ethan Nwaneri,45,MID,Newcastle,Arsenal,Arsenal
