,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,96,Newcastle,0,False,2024-11-02T12:30:00Z,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-9,1232,0,9,1,Fábio Ferreira Vieira,54,MID,Newcastle,Arsenal,Arsenal
1,2,96,Newcastle,1,False,2024-11-02T12:30:00Z,1,0,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.2,4.0,0.6,0,0.00,0.01,0.01,0.04,68,-4233,98901,2012,6245,2,Gabriel Fernando de Jesus,68,FWD,Newcastle,Arsenal,Arsenal
2,3,96,Newcastle,2,False,2024-11-02T12:30:00Z,1,0,10,90,0,0,0,1,0,0,0,0,0,0,0,9,17.6,14.3,2.0,3.4,1,0.00,0.10,0.10,0.53,62,-434195,2413799,27273,461468,3,Gabriel dos Santos Magalhães,62,DEF,Newcastle,Arsenal,Arsenal
3,4,96,Newcastle,1,False,2024-11-02T12:30:00Z,1,0,10,90,0,0,0,1,0,0,0,1,0,0,0,4,5.6,11.8,4.0,2.1,1,0.00,0.42,0.42,0.53,81,-158755,1625586,45811,204566,4,Kai Havertz,81,FWD,Newcastle,Arsenal,Arsenal
4,5,96,Newcastle,0,False,2024-11-02T12:30:00Z,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-101,3823,0,101,5,Karl Hein,40,GKP,Newcastle,Arsenal,Arsenal
5,6,96,Newcastle,1,False,2024-11-02T12:30:00Z,1,0,10,70,0,0,0,1,0,0,0,1,0,0,0,5,3.4,14.0,7.0,2.4,1,0.04,0.11,0.15,0.48,55,3402,144967,17690,14288,6,Jurriën Timber,55,DEF,Newcastle,Arsenal,Arsenal
6,7,96,Newcastle,0,False,2024-11-02T12:30:00Z,1,0,10,4,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,0.3,0.0,0.0,0,0.00,0.01,0.01,0.04,48,-724,26406,784,1508,7,Jorge Luiz Frello Filho,48,MID,Newcastle,Arsenal,Arsenal
7,8,96,Newcastle,0,False,2024-11-02T12:30:00Z,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,567,17175,1434,867,8,Jakub Kiwior,48,DEF,Newcastle,Arsenal,Arsenal
8,9,96,Newcastle,2,False,2024-11-02T12:30:00Z,1,0,10,60,0,0,0,1,0,0,0,0,0,0,0,2,3.6,2.3,10.0,1.6,1,0.00,0.06,0.06,0.44,70,-7740,419765,46051,53791,9,Gabriel Martinelli Silva,69,MID,Newcastle,Arsenal,Arsenal
9,12,96,Newcastle,1,False,2024-11-02T12:30:00Z,1,0,10,29,0,0,0,0,0,0,0,0,0,0,0,2,0.4,1.0,3.0,0.4,0,0.03,0.01,0.04,0.08,45,1700,34690,3978,2278,12,Ethan Nwaneri,45,MID,Newcastle,Arsenal,Arsenal
