,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,2,Wolves,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,0,2923,0,0,1,Fábio Ferreira Vieira,54,MID,Newcastle,Arsenal,Arsenal
1,2,2,Wolves,0,True,2024-08-17T14:00:00Z,2,0,1,5,0,0,0,0,0,0,0,1,0,0,0,1,0.2,0.8,0.0,0.1,0,0.00,0.00,0.00,0.15,70,0,199810,0,0,2,Gabriel Fernando de Jesus,68,FWD,Newcastle,Arsenal,Arsenal
2,3,2,Wolves,6,True,2024-08-17T14:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,22,13.8,1.4,8.0,2.3,1,0.12,0.02,0.14,0.47,60,0,1167503,0,0,3,Gabriel dos Santos Magalhães,63,DEF,Newcastle,Arsenal,Arsenal
3,4,2,Wolves,12,True,2024-08-17T14:00:00Z,2,0,1,90,1,1,1,0,0,0,0,0,0,0,3,48,54.8,24.1,46.0,12.5,1,0.45,0.04,0.49,0.47,80,0,1087445,0,0,4,Kai Havertz,82,FWD,Newcastle,Arsenal,Arsenal
4,5,2,Wolves,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,7300,0,0,5,Karl Hein,40,GKP,Newcastle,Arsenal,Arsenal
5,6,2,Wolves,1,True,2024-08-17T14:00:00Z,2,0,1,21,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.8,8.0,0.8,0,0.02,0.01,0.03,0.15,55,0,73714,0,0,6,Jurriën Timber,55,DEF,Newcastle,Arsenal,Arsenal
6,7,2,Wolves,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,0,25861,0,0,7,Jorge Luiz Frello Filho,48,MID,Newcastle,Arsenal,Arsenal
7,8,2,Wolves,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,0,16779,0,0,8,Jakub Kiwior,48,DEF,Newcastle,Arsenal,Arsenal
8,9,2,Wolves,3,True,2024-08-17T14:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,16,13.6,36.7,25.0,7.5,1,0.08,0.19,0.27,0.47,70,0,253825,0,0,9,Gabriel Martinelli Silva,70,MID,Newcastle,Arsenal,Arsenal
9,12,2,Wolves,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,16484,0,0,12,Ethan Nwaneri,45,MID,Newcastle,Arsenal,Arsenal
10,13,2,Wolves,3,True,2024-08-17T14:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,16,15.0,24.0,15.0,5.4,1,0.02,0.06,0.08,0.47,85,0,1391537,0,0,13,Martin Ødegaard,82,MID,Newcastle,Arsenal,Arsenal
11,15,2,Wolves,8,True,2024-08-17T14:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,3,1,28,28.0,0.0,0.0,2.8,1,0.00,0.00,0.00,0.47,55,0,2143198,0,0,15,David Raya Martin,56,GKP,Newcastle,Arsenal,Arsenal
12,16,2,Wolves,3,True,2024-08-17T14:00:00Z,2,0,1,84,0,0,1,0,0,0,0,0,0,0,0,9,6.6,13.4,8.0,2.8,1,0.09,0.05,0.14,0.32,65,0,552723,0,0,16,Declan Rice,63,MID,Newcastle,Arsenal,Arsenal
13,17,2,Wolves,12,True,2024-08-17T14:00:00Z,2,0,1,79,1,1,1,0,0,0,0,1,0,0,2,42,64.2,61.7,78.0,20.4,1,0.35,0.37,0.72,0.32,100,0,2763895,0,0,17,Bukayo Saka,100,MID,Newcastle,Arsenal,Arsenal
14,18,2,Wolves,6,True,2024-08-17T14:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,26,14.8,0.9,0.0,1.6,1,0.00,0.00,0.00,0.47,60,0,3490919,0,0,18,William Saliba,60,DEF,Newcastle,Arsenal,Arsenal
15,20,2,Wolves,3,True,2024-08-17T14:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,16,14.4,43.6,1.0,5.9,1,0.06,0.06,0.12,0.47,50,0,6975,0,0,20,Thomas Partey,50,MID,Newcastle,Arsenal,Arsenal
16,21,2,Wolves,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,5469,0,0,21,Kieran Tierney,43,DEF,Newcastle,Arsenal,Arsenal
17,22,2,Wolves,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,0,8462,0,0,22,Tomiyasu Takehiro,48,DEF,Newcastle,Arsenal,Arsenal
18,23,2,Wolves,1,True,2024-08-17T14:00:00Z,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,2,4.2,0.3,0.0,0.5,0,0.00,0.00,0.00,0.15,70,0,192689,0,0,23,Leandro Trossard,69,MID,Newcastle,Arsenal,Arsenal
19,24,2,Wolves,6,True,2024-08-17T14:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,22,5.8,1.3,8.0,1.5,1,0.07,0.06,0.13,0.47,65,0,927335,0,0,24,Benjamin White,63,DEF,Newcastle,Arsenal,Arsenal
20,25,2,Wolves,6,True,2024-08-17T14:00:00Z,2,0,1,68,0,0,1,0,0,0,0,0,0,0,0,22,7.2,4.9,6.0,1.8,1,0.00,0.04,0.04,0.32,50,0,230223,0,0,25,Oleksandr Zinchenko,48,DEF,Newcastle,Arsenal,Arsenal
21,73,6,Nott'm Forest,4,False,2024-08-17T14:00:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,7,0,17,47.0,0.0,0.0,4.7,1,0.00,0.00,0.00,1.30,45,0,198435,0,0,73,Norberto Murara Neto,43,GKP,Newcastle,Arsenal,Arsenal
22,186,9,Man City,0,True,2024-08-18T15:30:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,70,0,164846,0,0,186,Raheem Sterling,67,MID,Newcastle,Arsenal,Arsenal
23,578,2,Wolves,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,60,0,226287,0,0,578,Riccardo Calafiori,58,DEF,Newcastle,Arsenal,Arsenal
24,597,2,Wolves,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,1740,0,0,597,Myles Lewis-Skelly,45,MID,Newcastle,Arsenal,Arsenal
25,633,21,Brighton,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,60,708,1065,1272,564,633,Mikel Merino,60,MID,Newcastle,Arsenal,Arsenal
26,638,21,Brighton,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,0,0,0,638,Salah-Eddine Oulad M'hand,45,MID,Newcastle,Arsenal,Arsenal
27,639,21,Brighton,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,0,0,0,639,Tommy Setford,45,GKP,Newcastle,Arsenal,Arsenal
28,657,39,Spurs,0,False,2024-09-15T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,0,0,0,657,Maldini Kacurri,40,DEF,Newcastle,Arsenal,Arsenal
29,658,39,Spurs,0,False,2024-09-15T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,0,0,0,658,Ayden Heaven,40,DEF,Newcastle,Arsenal,Arsenal
30,659,39,Spurs,0,False,2024-09-15T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,0,0,0,659,Ismeal Kabia,45,MID,Newcastle,Arsenal,Arsenal
31,662,51,Leicester,0,True,2024-09-28T14:00:00Z,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,0,0,0,662,Josh Nichols,40,DEF,Newcastle,Arsenal,Arsenal
32,665,61,Southampton,0,True,2024-10-05T14:00:00Z,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,0,0,0,665,Nathan Butler-Oyedeji,45,FWD,Newcastle,Arsenal,Arsenal
33,28,7,West Ham,1,False,2024-08-17T16:30:00Z,1,2,1,73,0,0,0,1,0,0,0,1,0,0,0,1,0.0,30.5,13.0,4.2,1,0.21,0.21,0.42,1.39,65,0,328252,0,0,28,Leon Bailey,63,MID,Spurs,Aston Villa,Aston Villa
34,29,7,West Ham,0,False,2024-08-17T16:30:00Z,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,0,77081,0,0,29,Ross Barkley,52,MID,Spurs,Aston Villa,Aston Villa
35,30,7,West Ham,0,False,2024-08-17T16:30:00Z,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,0,4608,0,0,30,Enzo Barrenechea,49,MID,Spurs,Aston Villa,Aston Villa
36,31,7,West Ham,0,False,2024-08-17T16:30:00Z,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,0,12149,0,0,31,Emiliano Buendía Stati,53,MID,Spurs,Aston Villa,Aston Villa
37,32,7,West Ham,2,False,2024-08-17T16:30:00Z,1,2,1,81,0,0,0,1,0,0,0,0,0,0,0,7,9.0,12.4,2.0,2.3,1,0.00,0.01,0.01,1.41,45,0,263349,0,0,32,Matty Cash,44,DEF,Spurs,Aston Villa,Aston Villa
38,33,7,West Ham,0,False,2024-08-17T16:30:00Z,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,82976,0,0,33,Leander Dendoncker,45,MID,Spurs,Aston Villa,Aston Villa
39,34,7,West Ham,0,False,2024-08-17T16:30:00Z,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,65,0,5025,0,0,34,Moussa Diaby,65,MID,Spurs,Aston Villa,Aston Villa
40,35,7,West Ham,0,False,2024-08-17T16:30:00Z,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,50517,0,0,35,Diego Carlos Santos Silva,45,DEF,Spurs,Aston Villa,Aston Villa
41,36,7,West Ham,2,False,2024-08-17T16:30:00Z,1,2,1,73,0,0,0,1,0,0,0,0,0,0,0,14,14.4,19.2,0.0,3.4,1,0.00,0.13,0.13,1.39,45,0,196248,0,0,36,Lucas Digne,47,DEF,Spurs,Aston Villa,Aston Villa
42,37,7,West Ham,0,False,2024-08-17T16:30:00Z,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,0,478,0,0,37,Lewis Dobbin,50,MID,Spurs,Aston Villa,Aston Villa
43,38,7,West Ham,6,False,2024-08-17T16:30:00Z,1,2,1,28,1,0,0,0,0,0,0,0,0,0,1,30,34.4,2.1,23.0,6.0,0,0.38,0.00,0.38,1.17,60,0,23567,0,0,38,Jhon Durán,62,FWD,Spurs,Aston Villa,Aston Villa
44,39,7,West Ham,0,False,2024-08-17T16:30:00Z,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,37657,0,0,39,Joe Gauci,40,GKP,Spurs,Aston Villa,Aston Villa
45,40,7,West Ham,0,False,2024-08-17T16:30:00Z,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,46204,0,0,40,Kortney Hause,40,DEF,Spurs,Aston Villa,Aston Villa
46,41,7,West Ham,0,False,2024-08-17T16:30:00Z,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,0,6971,0,0,41,Samuel Iling-Junior,54,MID,Spurs,Aston Villa,Aston Villa
47,42,7,West Ham,0,False,2024-08-17T16:30:00Z,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,0,287,0,0,42,Boubacar Kamara,50,MID,Spurs,Aston Villa,Aston Villa
48,43,7,West Ham,0,False,2024-08-17T16:30:00Z,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,2538,0,0,43,Kaine Kesler-Hayden,40,DEF,Spurs,Aston Villa,Aston Villa
49,44,7,West Ham,2,False,2024-08-17T16:30:00Z,1,2,1,90,0,0,0,1,0,0,0,0,0,0,0,10,13.4,14.1,7.0,3.5,1,0.07,0.01,0.08,2.46,45,0,1165894,0,0,44,Ezri Konsa Ngoyo,45,DEF,Spurs,Aston Villa,Aston Villa
50,45,7,West Ham,1,False,2024-08-17T16:30:00Z,1,2,1,16,0,0,0,0,0,0,0,0,0,0,0,5,8.8,10.5,0.0,1.9,0,0.00,0.04,0.04,1.06,50,0,328876,0,0,45,Ian Maatsen,48,DEF,Spurs,Aston Villa,Aston Villa
