,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,81,Liverpool,0,True,2024-10-27T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-19,1241,0,19,1,Fábio Ferreira Vieira,54,MID,Newcastle,Arsenal,Arsenal
1,2,81,Liverpool,0,True,2024-10-27T16:30:00Z,2,2,9,5,0,0,0,0,0,0,0,1,0,0,0,1,2.0,0.3,21.0,2.3,0,0.18,0.00,0.18,0.00,68,-3526,101196,1944,5470,2,Gabriel Fernando de Jesus,68,FWD,Newcastle,Arsenal,Arsenal
2,3,81,Liverpool,1,True,2024-10-27T16:30:00Z,2,2,9,53,0,0,0,1,0,0,0,0,0,0,0,7,4.4,0.7,0.0,0.5,1,0.00,0.00,0.00,0.39,63,-102913,2845807,112341,215254,3,Gabriel dos Santos Magalhães,63,DEF,Newcastle,Arsenal,Arsenal
3,4,81,Liverpool,2,True,2024-10-27T16:30:00Z,2,2,9,90,0,0,0,2,0,0,0,0,0,0,0,3,4.4,25.3,17.0,4.7,1,0.17,0.47,0.64,0.85,82,-214525,1768961,30424,244949,4,Kai Havertz,82,FWD,Newcastle,Arsenal,Arsenal
4,5,81,Liverpool,0,True,2024-10-27T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-94,3922,0,94,5,Karl Hein,40,GKP,Newcastle,Arsenal,Arsenal
5,6,81,Liverpool,2,True,2024-10-27T16:30:00Z,2,2,9,75,0,0,0,1,0,0,0,0,0,0,0,4,14.8,11.6,2.0,2.8,1,0.00,0.02,0.02,0.54,55,-33099,138466,809,33908,6,Jurriën Timber,55,DEF,Newcastle,Arsenal,Arsenal
6,7,81,Liverpool,0,True,2024-10-27T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-624,26831,699,1323,7,Jorge Luiz Frello Filho,48,MID,Newcastle,Arsenal,Arsenal
7,8,81,Liverpool,1,True,2024-10-27T16:30:00Z,2,2,9,36,0,0,0,1,0,0,0,0,0,0,0,-1,5.6,0.5,0.0,0.6,0,0.00,0.00,0.00,0.45,48,-274,16194,482,756,8,Jakub Kiwior,48,DEF,Newcastle,Arsenal,Arsenal
8,9,81,Liverpool,2,True,2024-10-27T16:30:00Z,2,2,9,84,0,0,0,2,0,0,0,0,0,0,0,9,6.8,16.8,15.0,3.9,1,0.06,0.39,0.45,0.85,70,-36855,422426,35240,72095,9,Gabriel Martinelli Silva,70,MID,Newcastle,Arsenal,Arsenal
9,12,81,Liverpool,1,True,2024-10-27T16:30:00Z,2,2,9,5,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.5,2.0,0.4,0,0.00,0.00,0.00,0.00,45,-37,32660,1800,1837,12,Ethan Nwaneri,45,MID,Newcastle,Arsenal,Arsenal
10,13,81,Liverpool,0,True,2024-10-27T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,82,-8385,348691,267,8652,13,Martin Ødegaard,82,MID,Newcastle,Arsenal,Arsenal
11,15,81,Liverpool,0,True,2024-10-27T16:30:00Z,2,2,9,90,0,0,0,2,0,0,0,1,0,2,0,2,19.6,0.0,0.0,2.0,1,0.00,0.00,0.00,0.85,57,-161805,3259267,18442,180247,15,David Raya Martin,56,GKP,Newcastle,Arsenal,Arsenal
12,16,81,Liverpool,5,True,2024-10-27T16:30:00Z,2,2,9,90,0,1,0,2,0,0,0,0,0,0,0,26,34.8,35.2,2.0,7.2,1,0.00,0.20,0.20,0.85,63,-5880,299735,7085,12965,16,Declan Rice,63,MID,Newcastle,Arsenal,Arsenal
13,17,81,Liverpool,9,True,2024-10-27T16:30:00Z,2,2,9,84,1,0,0,2,0,0,0,0,0,0,2,30,34.0,1.4,24.0,5.9,1,0.23,0.01,0.24,0.85,100,-1132341,2353764,16438,1148779,17,Bukayo Saka,100,MID,Newcastle,Arsenal,Arsenal
14,18,81,Liverpool,0,True,2024-10-27T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,60,-845094,2485944,1772,846866,18,William Saliba,60,DEF,Newcastle,Arsenal,Arsenal
15,20,81,Liverpool,2,True,2024-10-27T16:30:00Z,2,2,9,90,0,0,0,2,0,0,0,0,0,0,0,18,24.8,4.8,0.0,3.0,1,0.00,0.02,0.02,0.85,50,-11409,127321,2065,13474,20,Thomas Partey,50,MID,Newcastle,Arsenal,Arsenal
16,21,81,Liverpool,0,True,2024-10-27T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-35,2425,33,68,21,Kieran Tierney,43,DEF,Newcastle,Arsenal,Arsenal
17,22,81,Liverpool,0,True,2024-10-27T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-373,4303,39,412,22,Tomiyasu Takehiro,48,DEF,Newcastle,Arsenal,Arsenal
18,23,81,Liverpool,2,True,2024-10-27T16:30:00Z,2,2,9,90,0,0,0,2,0,0,0,0,0,0,0,7,6.0,2.6,4.0,1.3,1,0.00,0.04,0.04,0.85,69,-38386,271155,11718,50104,23,Leandro Trossard,69,MID,Newcastle,Arsenal,Arsenal
19,24,81,Liverpool,4,True,2024-10-27T16:30:00Z,2,2,9,90,0,1,0,2,0,0,0,0,0,0,0,19,32.4,11.7,0.0,4.4,1,0.00,0.01,0.01,0.85,63,-20003,449741,5210,25213,24,Benjamin White,63,DEF,Newcastle,Arsenal,Arsenal
20,25,81,Liverpool,0,True,2024-10-27T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-1519,111488,1054,2573,25,Oleksandr Zinchenko,48,DEF,Newcastle,Arsenal,Arsenal
21,73,81,Liverpool,0,True,2024-10-27T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-4548,120931,810,5358,73,Norberto Murara Neto,43,GKP,Newcastle,Arsenal,Arsenal
22,186,81,Liverpool,0,True,2024-10-27T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,67,-2522,107771,1280,3802,186,Raheem Sterling,67,MID,Newcastle,Arsenal,Arsenal
23,578,81,Liverpool,0,True,2024-10-27T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,58,-29132,224753,11785,40917,578,Riccardo Calafiori,58,DEF,Newcastle,Arsenal,Arsenal
24,597,81,Liverpool,1,True,2024-10-27T16:30:00Z,2,2,9,14,0,0,0,1,0,0,0,0,0,0,0,5,3.2,0.4,2.0,0.6,0,0.00,0.00,0.00,0.31,45,-62,6485,254,316,597,Myles Lewis-Skelly,45,MID,Newcastle,Arsenal,Arsenal
25,28,82,Bournemouth,4,True,2024-10-26T14:00:00Z,1,1,9,19,0,1,0,1,0,0,0,0,0,0,0,15,16.2,10.3,2.0,2.9,0,0.00,0.16,0.16,0.12,63,758,116049,7007,6249,28,Leon Bailey,63,MID,Spurs,Aston Villa,Aston Villa
26,29,82,Bournemouth,5,True,2024-10-26T14:00:00Z,1,1,9,45,1,0,0,1,0,0,0,1,0,0,0,19,37.4,1.3,66.0,10.5,0,0.52,0.01,0.53,0.12,52,-1197,40736,794,1991,29,Ross Barkley,52,MID,Spurs,Aston Villa,Aston Villa
27,30,82,Bournemouth,0,True,2024-10-26T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-47,2345,0,47,30,Enzo Barrenechea,49,MID,Spurs,Aston Villa,Aston Villa
28,31,82,Bournemouth,0,True,2024-10-26T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-161,9646,248,409,31,Emiliano Buendía Stati,53,MID,Spurs,Aston Villa,Aston Villa
29,32,82,Bournemouth,1,True,2024-10-26T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,1,0,0,0,11,16.2,16.0,0.0,3.2,1,0.00,0.14,0.14,0.31,44,4657,133837,7784,3127,32,Matty Cash,44,DEF,Spurs,Aston Villa,Aston Villa
30,33,82,Bournemouth,0,True,2024-10-26T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-2143,33997,0,2143,33,Leander Dendoncker,45,MID,Spurs,Aston Villa,Aston Villa
31,34,82,Bournemouth,0,True,2024-10-26T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,65,-19,1825,0,19,34,Moussa Diaby,65,MID,Spurs,Aston Villa,Aston Villa
32,35,82,Bournemouth,0,True,2024-10-26T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,2175,50202,3835,1660,35,Diego Carlos Santos Silva,45,DEF,Spurs,Aston Villa,Aston Villa
33,36,82,Bournemouth,7,True,2024-10-26T14:00:00Z,1,1,9,70,0,0,1,0,0,0,0,1,0,0,2,22,11.2,27.5,2.0,4.1,1,0.00,0.41,0.41,0.18,46,57334,886984,75571,18237,36,Lucas Digne,47,DEF,Spurs,Aston Villa,Aston Villa
34,37,82,Bournemouth,0,True,2024-10-26T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-2,228,0,2,37,Lewis Dobbin,50,MID,Spurs,Aston Villa,Aston Villa
35,38,82,Bournemouth,1,True,2024-10-26T14:00:00Z,1,1,9,33,0,0,0,1,0,0,0,0,0,0,0,0,5.6,1.8,22.0,2.9,0,0.29,0.00,0.29,0.12,62,-73790,598546,25067,98857,38,Jhon Durán,62,FWD,Spurs,Aston Villa,Aston Villa
36,39,82,Bournemouth,0,True,2024-10-26T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-694,93140,1457,2151,39,Joe Gauci,40,GKP,Spurs,Aston Villa,Aston Villa
37,40,82,Bournemouth,0,True,2024-10-26T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1413,64361,614,2027,40,Kortney Hause,40,DEF,Spurs,Aston Villa,Aston Villa
38,41,82,Bournemouth,0,True,2024-10-26T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-48,2564,0,48,41,Samuel Iling-Junior,54,MID,Spurs,Aston Villa,Aston Villa
39,42,82,Bournemouth,1,True,2024-10-26T14:00:00Z,1,1,9,8,0,0,0,1,0,0,0,0,0,0,0,4,1.8,0.3,0.0,0.2,0,0.00,0.00,0.00,0.10,50,252,845,338,86,42,Boubacar Kamara,50,MID,Spurs,Aston Villa,Aston Villa
40,43,82,Bournemouth,0,True,2024-10-26T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-31,1188,0,31,43,Kaine Kesler-Hayden,40,DEF,Spurs,Aston Villa,Aston Villa
41,44,82,Bournemouth,2,True,2024-10-26T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,13,20.2,13.3,7.0,4.1,1,0.07,0.11,0.18,0.31,45,-51602,1249165,13833,65435,44,Ezri Konsa Ngoyo,45,DEF,Spurs,Aston Villa,Aston Villa
42,45,82,Bournemouth,1,True,2024-10-26T14:00:00Z,1,1,9,19,0,0,0,1,0,0,0,0,0,0,0,-2,5.2,4.2,2.0,1.1,0,0.00,0.04,0.04,0.12,48,-7695,193549,2749,10444,45,Ian Maatsen,48,DEF,Spurs,Aston Villa,Aston Villa
43,46,82,Bournemouth,0,True,2024-10-26T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2,109,0,2,46,Filip Marschall,40,GKP,Spurs,Aston Villa,Aston Villa
44,47,82,Bournemouth,2,True,2024-10-26T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,2,0,10,17.6,0.0,0.0,1.8,1,0.00,0.00,0.00,0.31,50,74562,1476141,89899,15337,47,Emiliano Martínez Romero,50,GKP,Spurs,Aston Villa,Aston Villa
45,48,82,Bournemouth,2,True,2024-10-26T14:00:00Z,1,1,9,70,0,0,1,0,0,0,0,1,0,0,0,4,0.4,13.3,4.0,1.8,1,0.00,0.07,0.07,0.18,52,799,83909,2913,2114,48,John McGinn,52,MID,Spurs,Aston Villa,Aston Villa
46,49,82,Bournemouth,0,True,2024-10-26T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,460,5210,589,129,49,Tyrone Mings,44,DEF,Spurs,Aston Villa,Aston Villa
47,50,82,Bournemouth,0,True,2024-10-26T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-8523,133623,793,9316,50,Kosta Nedeljković,40,DEF,Spurs,Aston Villa,Aston Villa
