,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,71,Bournemouth,0,False,2024-10-19T16:30:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-53,1260,0,53,1,Fábio Ferreira Vieira,54,MID,Newcastle,Arsenal,Arsenal
1,2,71,Bournemouth,1,False,2024-10-19T16:30:00Z,2,0,8,10,0,0,0,0,0,0,0,0,0,0,0,8,1.0,0.4,6.0,0.7,0,0.00,0.00,0.00,0.00,68,1340,103246,7657,6317,2,Gabriel Fernando de Jesus,68,FWD,Newcastle,Arsenal,Arsenal
2,3,71,Bournemouth,1,False,2024-10-19T16:30:00Z,2,0,8,90,0,0,0,2,0,0,0,0,0,0,0,5,21.6,1.1,5.0,2.8,1,0.02,0.00,0.02,1.82,62,128228,2960806,194032,65804,3,Gabriel dos Santos Magalhães,63,DEF,Newcastle,Arsenal,Arsenal
3,4,71,Bournemouth,2,False,2024-10-19T16:30:00Z,2,0,8,90,0,0,0,2,0,0,0,0,0,0,0,4,3.6,3.3,10.0,1.7,1,0.04,0.02,0.06,1.82,83,-176824,1980343,105725,282549,4,Kai Havertz,82,FWD,Newcastle,Arsenal,Arsenal
4,5,71,Bournemouth,0,False,2024-10-19T16:30:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-142,4010,0,142,5,Karl Hein,40,GKP,Newcastle,Arsenal,Arsenal
5,6,71,Bournemouth,0,False,2024-10-19T16:30:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,-38435,170817,2736,41171,6,Jurriën Timber,55,DEF,Newcastle,Arsenal,Arsenal
6,7,71,Bournemouth,0,False,2024-10-19T16:30:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-353,27223,1293,1646,7,Jorge Luiz Frello Filho,48,MID,Newcastle,Arsenal,Arsenal
7,8,71,Bournemouth,0,False,2024-10-19T16:30:00Z,2,0,8,43,0,0,0,2,0,0,0,0,0,0,0,-4,3.0,0.2,0.0,0.3,0,0.00,0.00,0.00,1.69,48,-679,16198,557,1236,8,Jakub Kiwior,48,DEF,Newcastle,Arsenal,Arsenal
8,9,71,Bournemouth,1,False,2024-10-19T16:30:00Z,2,0,8,26,0,0,0,2,0,0,0,0,0,0,0,-5,2.0,2.7,21.0,2.6,0,0.42,0.01,0.43,1.03,70,-3384,457823,74381,77765,9,Gabriel Martinelli Silva,70,MID,Newcastle,Arsenal,Arsenal
9,12,71,Bournemouth,1,False,2024-10-19T16:30:00Z,2,0,8,9,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.7,0.0,0.1,0,0.00,0.00,0.00,0.00,45,-1503,32334,1958,3461,12,Ethan Nwaneri,45,MID,Newcastle,Arsenal,Arsenal
