,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x
0,1,Fábio Ferreira Vieira,54,MID,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
1,2,Gabriel Fernando de Jesus,68,FWD,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
2,3,Gabriel dos Santos Magalhães,61,DEF,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
3,4,Kai Havertz,80,FWD,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
4,5,Karl Hein,40,GKP,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
5,6,Jurriën Timber,55,DEF,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
6,7,Jorge Luiz Frello Filho,48,MID,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
7,8,Jakub Kiwior,48,DEF,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
8,9,Gabriel Martinelli Silva,69,MID,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
9,12,Ethan Nwaneri,45,MID,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
10,13,Martin Ødegaard,82,MID,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
11,15,David Raya Martin,56,GKP,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
12,16,Declan Rice,63,MID,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
13,17,Bukayo Saka,101,MID,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
14,18,William Saliba,60,DEF,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
15,20,Thomas Partey,50,MID,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
16,21,Kieran Tierney,43,DEF,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
17,22,Tomiyasu Takehiro,48,DEF,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
18,23,Leandro Trossard,69,MID,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
19,24,Benjamin White,62,DEF,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
20,25,Oleksandr Zinchenko,48,DEF,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
21,73,Norberto Murara Neto,43,GKP,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
22,186,Raheem Sterling,67,MID,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
23,578,Riccardo Calafiori,58,DEF,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
24,597,Myles Lewis-Skelly,45,MID,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
25,633,Mikel Merino,60,MID,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
26,638,Salah-Eddine Oulad M'hand,45,MID,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
27,639,Tommy Setford,45,GKP,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
28,657,Maldini Kacurri,40,DEF,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
29,658,Ayden Heaven,40,DEF,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
30,659,Ismeal Kabia,45,MID,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
31,662,Josh Nichols,40,DEF,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
32,665,Nathan Butler-Oyedeji,45,FWD,Arsenal,Nott'm Forest,2024-11-23T15:00:00Z,True,Arsenal
33,28,Leon Bailey,63,MID,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
34,29,Ross Barkley,52,MID,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
35,30,Enzo Barrenechea,49,MID,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
36,31,Emiliano Buendía Stati,52,MID,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
37,32,Matty Cash,44,DEF,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
38,33,Leander Dendoncker,45,MID,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
39,34,Moussa Diaby,65,MID,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
40,35,Diego Carlos Santos Silva,45,DEF,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
41,36,Lucas Digne,47,DEF,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
42,37,Lewis Dobbin,50,MID,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
43,38,Jhon Durán,60,FWD,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
44,39,Joe Gauci,40,GKP,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
45,40,Kortney Hause,40,DEF,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
46,41,Samuel Iling-Junior,54,MID,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
47,42,Boubacar Kamara,50,MID,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
48,43,Kaine Kesler-Hayden,40,DEF,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
49,44,Ezri Konsa Ngoyo,44,DEF,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
50,45,Ian Maatsen,47,DEF,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
51,46,Filip Marschall,40,GKP,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
52,47,Emiliano Martínez Romero,50,GKP,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
53,48,John McGinn,52,MID,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
54,49,Tyrone Mings,44,DEF,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
55,50,Kosta Nedeljković,40,DEF,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
56,51,Robin Olsen,45,GKP,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
57,52,Pau Torres,45,DEF,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
58,53,Jacob Ramsey,54,MID,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
59,54,Morgan Rogers,54,MID,Aston Villa,Crystal Palace,2024-11-23T15:00:00Z,True,Aston Villa
